	level_0	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
0	0	3	104	0.0	0.13582577	Merger	703061800.0	100	81
1	1	4	184	0.0	0.9495466	Merger	2304305000.0	100	81
2	2	5	113516	0.0	0.95495296	Merger	1880643200.0	100	81
3	3	6	127134	0.0	0.3797837	Merger	1507001200.0	100	81
4	4	7	153940	0.0	0.9877631	Merger	1813072800.0	100	81
5	5	8	195754	0.0	0.24100989	Merger	528457300000.0	100	81
6	6	9	244015	0.0	0.9751714	Merger	2362008800.0	100	81
7	7	10	244027	0.0	0.95606685	Merger	1299856300.0	100	81
8	8	11	300961	0.0	0.10955829	Merger	2735699000.0	100	81
9	9	12	318016	0.0	1.1024758	Merger	231946930.0	100	81
10	10	13	338719	0.0	1.2153825	Merger	1816446200.0	100	81
11	11	14	350078	0.0	1.1989412	Merger	2224421600.0	100	81
12	12	15	350084	0.0	0.1736257	Merger	1045182460.0	100	81
13	13	16	351916	0.0	0.86536217	Merger	1946335200.0	100	81
14	14	17	389161	0.0	0.13966434	Merger	132886905000.0	100	81
15	15	18	395271	0.0	0.36198664	Merger	699133060.0	100	81
16	16	19	450355	0.0	0.33763385	Merger	43276394000.0	100	81
17	17	20	514552	0.0	0.1981339	Merger	263698060.0	100	81
18	18	21	553549	0.0	0.77773124	Merger	9345639000.0	100	81
19	19	22	572563	0.0	0.23374747	Merger	2596328400.0	100	81
20	20	23	576328	0.0	1.8989078	Merger	1195726500.0	100	81
21	21	24	588736	0.0	0.20494333	Merger	3877764400.0	100	81
22	22	25	593793	0.0	0.22988254	Merger	1535344000.0	100	81
23	23	26	602092	0.0	0.27511898	Merger	2476540000.0	100	81
24	24	27	615035	0.0	0.31991512	Merger	1816654500.0	100	81
25	25	28	616384	0.0	0.4309618	Merger	521409250.0	100	81
26	26	29	616669	0.0	0.1269029	Merger	1228106500.0	100	81
27	27	30	617609	0.0	0.11633995	Merger	956766600.0	100	81
28	28	31	642052	0.0	0.11689906	Merger	586713540.0	100	81
