	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
0	1	127	0.1349460356667766	0.89068085	Descendant	2695234800.0	1000	97
1	9	405904	0.1349460356667766	0.57582295	Descendant	23691323000.0	1000	97
2	23	745340	0.1349460356667766	0.115363345	Descendant	178943860.0	1000	97
3	26	154	0.0	0.9640164	Merger	3214553000.0	100	97
4	27	218408	0.0	1.1956078	Merger	814074700000.0	100	97
5	28	309998	0.0	0.97351676	Merger	4674185000.0	100	97
6	29	325942	0.0	0.10799437	Merger	9552654000.0	100	97
7	30	352030	0.0	0.97380644	Merger	814363650.0	100	97
8	31	352059	0.0	1.0385209	Merger	385387260.0	100	97
9	32	418115	0.0	0.3182033	Merger	931465500.0	100	97
10	33	422859	0.0	0.792047	Merger	2307717400.0	100	97
11	34	427923	0.0	0.37548432	Merger	190038260000.0	100	97
12	35	428916	0.0	1.137818	Merger	1151735200.0	100	97
13	36	464728	0.0	1.6479405	Merger	6049177600.0	100	97
14	37	492397	0.0	1.02382	Merger	1365894800.0	100	97
15	38	497777	0.0	1.0036362	Merger	957072200.0	100	97
16	39	546566	0.0	0.6587821	Merger	157822180.0	100	97
17	40	598503	0.0	0.12067353	Merger	15787204000.0	100	97
18	41	709571	0.0	0.12915377	Merger	1804204900.0	100	97
19	42	713184	0.0	0.14754593	Merger	950373200.0	100	97
20	43	743316	0.0	0.5577638	Merger	396060740.0	100	97
21	44	761435	0.0	0.35859716	Merger	127433210.0	100	97
22	45	762261	0.0	0.12944216	Merger	323727970.0	100	97
23	46	788573	0.0	0.2574376	Merger	87210900.0	100	97
24	47	805876	0.0	0.4500266	Merger	110342936.0	100	97
25	48	917869	0.0	0.9499825	Merger	1148546400.0	100	97
26	76	587895	-0.20358567	0.30199835	next_progenitor	25626874000.0	10	97
