	Subfind_ID	t-t_merg	q	Type	mass	int_type	center	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2
122	601298	0.0	0.5077184	Merger	168897550.0	101	48	0.02439353	1	10	608.8276567048234	653.9703139453738
123	5	0.1456184930008088	1.215618	Descendant	128241360000.0	1000	48	0.4996414	1	26	58.530141165626425	59.784000509905844
124	517062	0.1456184930008088	0.6648506	Descendant	1913476500.0	1000	48	0.7149023	0	24	305.71079544746266	341.44570074234383
125	559525	0.1456184930008088	0.23349722	Descendant	672856400.0	1000	48	0.17685024	0	12	479.4079472677039	593.32851148564
126	567427	0.1456184930008088	0.2885103	Descendant	330746560.0	1000	48	0.14311732	0	37	212.77161152311388	218.30363230792602
127	580196	0.1456184930008088	0.12007011	Descendant	465610800.0	1000	48	0.16831516	0	30	616.5962507926217	682.0817015818136
128	94149	0.0	0.9859401	Merger	1180641500.0	100	48	0.27281824	1	83	9.61888517436066	16.413528125140665
129	103489	0.0	0.22547188	Merger	135992640.0	100	48	0.040503465	1	583	49.07214591398677	77.97934773557236
130	114897	0.0	0.65193003	Merger	17121458000.0	100	48	18.601555	1	27	18.176223301139927	25.02962553406148
131	125448	0.0	0.15853359	Merger	99441780000.0	100	48	6.037377	1	12	192.37496939960863	421.6454883889669
132	148163	0.0	0.11084664	Merger	774431550.0	100	48	0.21128316	1	78	41.39549131507445	240.42578569202465
133	150361	0.0	0.1640438	Merger	192963460000.0	100	48	35.176186	1	2	54.01030442776029	1565.5436109846646
134	191333	0.0	1.0783453	Merger	326083970.0	100	48	0.38954592	1	48	93.1441974607012	96.3766499502584
135	192417	0.0	0.27058464	Merger	493151460.0	100	48	0.38654146	1	62	81.14424252240543	91.73033812312822
136	196856	0.0	0.1624981	Merger	4195057400.0	100	48	0.67965156	1	13	37.33037334955211	59.55219818338045
137	204631	0.0	0.18564202	Merger	88340660.0	100	48	0.015037963	1	264	110.43575883000769	122.09184411297909
138	214894	0.0	0.24665725	Merger	395933340.0	100	48	0.14955732	1	153	19.88134574298536	135.98809298841354
139	214898	0.0	1.1010852	Merger	324946270.0	100	48	0.15303603	1	163	29.2781689441156	32.198314249850455
140	231317	0.0	0.23033828	Merger	320793020.0	100	48	0.06588536	1	66	81.56630800998721	86.06048164938197
141	244529	0.0	0.20182756	Merger	81452245000.0	100	48	0.7912858	1	2	1859.7232488705354	1959.2805251448551
142	275134	0.0	0.17595638	Merger	8614956000.0	100	48	2.3994539	1	9	52.82258553652554	187.82558163400589
143	277965	0.0	0.12942095	Merger	45483717000.0	100	48	23.904728	1	3	615.6282972078036	1242.380496471803
144	279796	0.0	1.0445101	Merger	29492260000.0	100	48	12.389226	1	1	1444.102414740642	2499.8493120117537
145	298219	0.0	0.17070776	Merger	34114169000.0	100	48	7.3062243	1	23	678.7485284342534	755.0236560812302
146	330862	0.0	0.28839427	Merger	242525860.0	100	48	0.1896753	1	92	191.70877686118547	207.22758580272867
147	336361	0.0	0.13262436	Merger	3521732900.0	100	48	1.9483728	1	13	54.61086721253404	125.15481130483761
148	348296	0.0	0.14216936	Merger	17437241000.0	100	48	9.675273	1	4	351.66215627110125	1025.1111476949648
149	351498	0.0	1.6236291	Merger	324438370.0	100	48	0.15636256	1	59	65.14448433866418	94.55181338908669
150	353158	0.0	1.1790638	Merger	14545726000.0	100	48	1.9583529	1	4	253.2201876348877	1736.8358936694433
151	357910	0.0	0.192378	Merger	15208580000.0	100	48	2.0802557	1	12	753.8223154954684	783.6540892301753
152	362181	0.0	0.119491585	Merger	9988512000.0	100	48	2.1018462	2	14	352.9033887353779	411.42198103326587
153	362402	0.0	0.11581207	Merger	9029572000.0	100	48	4.20879	1	1	529.9646863495428	2489.986349978867
154	381397	0.0	0.34733045	Merger	87624410.0	100	48	0.022555333	1	177	115.49662072758427	195.4161034764357
155	382571	0.0	0.14180951	Merger	8310903000.0	100	48	1.5538604	1	2	1582.790240604487	1787.617016716107
156	393315	0.0	0.27398947	Merger	7734358000.0	100	48	3.4215841	1	15	443.21908485097026	1040.4373155264477
157	398451	0.0	0.30921182	Merger	8015307300.0	100	48	2.8659458	2	13	298.7086156659973	446.97375020952205
158	405814	0.0	0.16838072	Merger	2052149400.0	100	48	0.3754992	1	24	125.66244211974602	367.77133271870065
159	406237	0.0	0.11892378	Merger	244697710.0	100	48	0.14113253	1	90	132.55295865463046	144.58762475729037
160	411158	0.0	0.12431415	Merger	2392729600.0	100	48	2.1350875	1	14	73.0374675477819	398.32530983305116
161	422391	0.0	0.34764293	Merger	185199380.0	100	48	0.09771067	1	63	134.44527106959944	180.92084359610564
162	422973	0.0	0.37421447	Merger	232780560.0	100	48	0.04935115	1	259	38.14996050446926	312.5830798393653
163	426532	0.0	1.436772	Merger	7228197400.0	100	48	2.159616	1	5	659.1651554549615	769.0891936177849
164	434196	0.0	1.4767894	Merger	2903207200.0	100	48	1.2081612	1	3	562.4442614195403	1161.8981073823402
165	434319	0.0	0.3122078	Merger	2278603300.0	100	48	1.1881467	1	6	1121.0731012372205	1383.78070378062
166	436866	0.0	0.25189564	Merger	3486212900.0	100	48	0.9143122	1	30	258.5926368521255	669.3123841371431
167	438440	0.0	0.39236128	Merger	2513816600.0	100	48	4.829649	1	107	246.66876406209255	277.9426271216377
168	442038	0.0	0.4170431	Merger	3304007400.0	100	48	1.5083046	1	26	521.1220282385877	611.7098279806048
169	449009	0.0	0.17830947	Merger	3020245500.0	100	48	1.4544656	1	16	640.2122398368189	920.4525695194301
170	449501	0.0	0.18995287	Merger	1787795300.0	100	48	1.0377471	1	17	538.6211684599795	582.9385343344373
171	451786	0.0	0.34102586	Merger	1134395100.0	100	48	0.42142627	1	17	54.0375000010103	346.7809658413198
172	453867	0.0	0.13635144	Merger	3433469200.0	100	48	1.9005839	1	14	351.05459260445093	618.392071751342
173	454324	0.0	0.12585121	Merger	241630660.0	100	48	0.11119012	1	93	105.38087009028173	156.62438293820742
174	456462	0.0	0.12939498	Merger	433238100.0	100	48	0.2514203	2	18	136.25573237602023	479.49898996310776
175	457845	0.0	0.20158732	Merger	1408021500.0	100	48	0.77180135	1	25	251.15071804167033	432.3437761066146
176	461917	0.0	0.76861924	Merger	797892740.0	100	48	0.7596392	2	30	9.51222613723455	18.795343549061318
177	462320	0.0	0.7513908	Merger	1987177700.0	100	48	0.52349293	1	28	525.1871708670121	903.3507882937388
178	481249	0.0	0.10847053	Merger	90644424.0	100	48	0.04148909	1	78	26.659577140120078	322.51299142824035
179	484560	0.0	0.21014987	Merger	1680311200.0	100	48	0.7248205	1	24	215.29257692251915	216.82231023850343
180	487898	0.0	0.4112495	Merger	976160300.0	100	48	0.30052644	1	3	490.64580773774344	637.1152519975388
181	488648	0.0	0.12755683	Merger	1162670100.0	100	48	0.43402156	2	6	637.0536679389154	766.0108105296569
182	492120	0.0	0.22606951	Merger	96790820.0	100	48	0.066581115	2	9	35.95864927570531	362.74039704619867
183	496005	0.0	0.40211618	Merger	957771900.0	100	48	0.49016085	2	30	343.1965794102219	481.4706491603711
184	511461	0.0	0.13078988	Merger	477085150.0	100	48	0.09592174	1	21	217.46014787517436	238.33772810615025
