Subfind_ID	t-t_merg	q	Type	mass
4	-0.10003142999999959	0.11913342	first_progenitor	415885340.0
95	-0.10003142999999959	0.11913342	next_progenitor	1092714.0
168618	-0.10003142999999959	0.15085204	first_progenitor	0.0
168619	-0.10003142999999959	0.15085204	next_progenitor	0.0
5785	-0.10003142999999959	0.14653191	first_progenitor	43344.44
5792	-0.10003142999999959	0.14653191	next_progenitor	0.0
42639	-0.10003142999999959	0.19768272	first_progenitor	0.0
42640	-0.10003142999999959	0.19768272	next_progenitor	0.0
125048	-0.10003142999999959	0.16886851	first_progenitor	0.0
125051	-0.10003142999999959	0.16886851	next_progenitor	0.0
14714	-0.10003142999999959	0.1018806	first_progenitor	0.0
14732	-0.10003142999999959	0.1018806	next_progenitor	42371.492
20970	-0.10003142999999959	0.20212863	first_progenitor	0.0
20976	-0.10003142999999959	0.20212863	next_progenitor	0.0
10667	-0.10003142999999959	0.13018972	first_progenitor	98090.85
10670	-0.10003142999999959	0.13018972	next_progenitor	2467376.2
37320	-0.10003142999999959	0.57453984	first_progenitor	0.0
28248	-0.10003142999999959	0.57453984	next_progenitor	292611.1
19523	-0.10003142999999959	0.14086254	first_progenitor	0.0
19532	-0.10003142999999959	0.14086254	next_progenitor	0.0
13134	-0.10003142999999959	0.15613095	first_progenitor	89831.41
13136	-0.10003142999999959	0.15613095	next_progenitor	0.0
13135	-0.10003142999999959	0.10868482	first_progenitor	0.0
13178	-0.10003142999999959	0.10868482	next_progenitor	0.0
172415	-0.10003142999999959	0.17278591	first_progenitor	0.0
172422	-0.10003142999999959	0.17278591	next_progenitor	0.0
36805	-0.10003142999999959	0.110008426	first_progenitor	0.0
31399	-0.10003142999999959	0.110008426	next_progenitor	2342612.8
20805	-0.10003142999999959	0.11816921	first_progenitor	0.0
20806	-0.10003142999999959	0.11816921	next_progenitor	36580.64
23041	-0.10003142999999959	0.16789162	first_progenitor	128927.44
23062	-0.10003142999999959	0.16789162	next_progenitor	0.0
24181	-0.10003142999999959	0.12056554	first_progenitor	188861.4
24182	-0.10003142999999959	0.12056554	next_progenitor	0.0
