Subfind_ID	t-t_merg	q	Type	mass
17121	-0.2451830200000007	0.1368722	first_progenitor	0.0
17122	-0.2451830200000007	0.1368722	next_progenitor	407026.5
48403	-0.2451830200000007	0.16576396	first_progenitor	0.0
17319	-0.2451830200000007	0.16576396	next_progenitor	0.0
5676	-0.2451830200000007	1.9308581	first_progenitor	276510.4
5910	-0.2451830200000007	1.9308581	next_progenitor	0.0
15903	-0.2451830200000007	0.24334371	first_progenitor	0.0
15904	-0.2451830200000007	0.24334371	next_progenitor	0.0
8856	-0.2451830200000007	0.21504587	first_progenitor	2105207.2
8857	-0.2451830200000007	0.21504587	next_progenitor	119921.3
5961	-0.2451830200000007	0.14442329	first_progenitor	0.0
23783	-0.2451830200000007	0.14442329	next_progenitor	5640594.0
5001	-0.2451830200000007	0.124376535	first_progenitor	96015.9
5002	-0.2451830200000007	0.124376535	next_progenitor	555016.4
10348	-0.2451830200000007	3.5449476	first_progenitor	0.0
10356	-0.2451830200000007	3.5449476	next_progenitor	331871.9
27628	-0.2451830200000007	0.10778519	first_progenitor	0.0
25527	-0.2451830200000007	0.10778519	next_progenitor	65710.055
37327	-0.2451830200000007	1.8417425	first_progenitor	0.0
41008	-0.2451830200000007	1.8417425	next_progenitor	0.0
22403	-0.2451830200000007	0.10047432	first_progenitor	0.0
22404	-0.2451830200000007	0.10047432	next_progenitor	0.0
12179	-0.2451830200000007	2.126971	first_progenitor	0.0
11231	-0.2451830200000007	2.126971	next_progenitor	59854.17
12178	-0.2451830200000007	1.2448871	first_progenitor	0.0
12185	-0.2451830200000007	1.2448871	next_progenitor	57096700.0
19987	-0.2451830200000007	0.11539342	first_progenitor	0.0
19989	-0.2451830200000007	0.11539342	next_progenitor	249722.81
46950	-0.2451830200000007	0.18592505	first_progenitor	0.0
46951	-0.2451830200000007	0.18592505	next_progenitor	0.0
63025	-0.2451830200000007	0.1045037	first_progenitor	0.0
63029	-0.2451830200000007	0.1045037	next_progenitor	0.0
15452	-0.2451830200000007	0.3678103	first_progenitor	274866.72
15450	-0.2451830200000007	0.3678103	next_progenitor	140021.5
37096	-0.2451830200000007	0.401528	first_progenitor	0.0
41110	-0.2451830200000007	0.401528	next_progenitor	64989.867
25192	-0.2451830200000007	0.13790305	first_progenitor	668172.56
25194	-0.2451830200000007	0.13790305	next_progenitor	158499.22
