Subfind_ID	t-t_merg	q	Type	mass
6	0.07430715070299954	0.11913342	Descendant	199445260.0
5748	0.07430715070299954	0.15085204	Descendant	0.0
6687	0.07430715070299954	0.14653191	Descendant	0.0
10858	0.07430715070299954	0.19768272	Descendant	0.0
11564	0.07430715070299954	0.16886851	Descendant	84275.97
11565	0.07430715070299954	0.1018806	Descendant	359109.4
14282	0.07430715070299954	0.20212863	Descendant	392086.75
14819	0.07430715070299954	0.13018972	Descendant	444976.38
16077	0.07430715070299954	0.57453984	Descendant	451675.75
17316	0.07430715070299954	0.14086254	Descendant	0.0
20970	0.07430715070299954	0.15613095	Descendant	0.0
20971	0.07430715070299954	0.10868482	Descendant	0.0
22564	0.07430715070299954	0.17278591	Descendant	0.0
24693	0.07430715070299954	0.110008426	Descendant	0.0
28518	0.07430715070299954	0.11816921	Descendant	0.0
30968	0.07430715070299954	0.16789162	Descendant	32818.58
31317	0.07430715070299954	0.12056554	Descendant	43825.938
31798	0.07430715070299954	0.6634569	Descendant	0.0
32026	0.07430715070299954	0.18439084	Descendant	737405.1
33652	0.07430715070299954	0.12978859	Descendant	0.0
36787	0.07430715070299954	0.3804003	Descendant	0.0
37366	0.07430715070299954	1.3473415	Descendant	0.0
41005	0.07430715070299954	0.28958732	Descendant	0.0
41857	0.07430715070299954	0.32305133	Descendant	0.0
43029	0.07430715070299954	0.20557109	Descendant	0.0
43692	0.07430715070299954	0.10714895	Descendant	0.0
44834	0.07430715070299954	0.19480345	Descendant	103300.02
45693	0.07430715070299954	0.21675333	Descendant	0.0
47082	0.07430715070299954	0.13179457	Descendant	0.0
49442	0.07430715070299954	0.4261232	Descendant	0.0
50581	0.07430715070299954	1.5055004	Descendant	0.0
52482	0.07430715070299954	0.10336793	Descendant	0.0
53590	0.07430715070299954	2.7307668	Descendant	0.0
56478	0.07430715070299954	0.14978902	Descendant	1125062.9
57583	0.07430715070299954	0.12630984	Descendant	0.0
61034	0.07430715070299954	0.23857419	Descendant	0.0
61036	0.07430715070299954	0.33559772	Descendant	0.0
61907	0.07430715070299954	1.1955985	Descendant	0.0
62204	0.07430715070299954	1.6013659	Descendant	112250.99
63237	0.07430715070299954	0.31928515	Descendant	96409.42
63818	0.07430715070299954	0.30658633	Descendant	0.0
64512	0.07430715070299954	0.72962135	Descendant	0.0
71834	0.07430715070299954	0.2101538	Descendant	108488.836
74244	0.07430715070299954	0.24072894	Descendant	0.0
74322	0.07430715070299954	0.21398374	Descendant	0.0
74935	0.07430715070299954	0.16106094	Descendant	0.0
76453	0.07430715070299954	0.5040442	Descendant	0.0
77870	0.07430715070299954	0.15324526	Descendant	0.0
82599	0.07430715070299954	1.5514948	Descendant	0.0
