	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
0	110	438	0.0	0.23595154	Merger	12118010000.0	100	12
1	111	2215	0.0	1.7433566	Merger	2119236200.0	100	12
2	112	5688	0.0	0.19109929	Merger	1560859600.0	100	12
3	113	5957	0.0	0.2079543	Merger	139385220.0	100	12
4	114	6390	0.0	1.1339469	Merger	84661170.0	100	12
5	115	8381	0.0	0.10882452	Merger	916127300.0	100	12
6	116	17111	0.0	0.10060059	Merger	270554800.0	100	12
7	117	17253	0.0	0.1790831	Merger	331017860.0	100	12
8	118	17289	0.0	0.10091216	Merger	161913540.0	100	12
9	119	17503	0.0	0.17105013	Merger	158885170.0	100	12
10	120	22182	0.0	0.24740256	Merger	186502380.0	100	12
11	121	23448	0.0	0.8406721	Merger	266706700.0	100	12
12	122	23977	0.0	0.25112277	Merger	182851260.0	100	12
13	123	25323	0.0	0.17503673	Merger	98663800.0	100	12
14	124	25483	0.0	0.52921563	Merger	149297170.0	100	12
15	125	26839	0.0	0.13010362	Merger	150373300.0	100	12
16	126	28490	0.0	0.5405439	Merger	208685420.0	100	12
17	127	30073	0.0	0.2672853	Merger	114877470.0	100	12
18	128	33916	0.0	0.11264139	Merger	129517340.0	100	12
19	129	35071	0.0	0.4080877	Merger	101209380.0	100	12
20	130	36336	0.0	0.11066282	Merger	135638370.0	100	12
21	131	40483	0.0	0.20195916	Merger	113634220.0	100	12
22	132	42408	0.0	0.11141799	Merger	93613380.0	100	12
23	155	12792	-0.0879999400000013	0.21289493	first_progenitor	752315840.0	1	12
24	174	17767	-0.0879999400000013	0.6231339	next_progenitor	247569740.0	10	12
25	230	37912	-0.0879999400000013	0.22584723	first_progenitor	172027680.0	1	12
26	315	19593	-0.121599230000001	0.10652973	first_progenitor	364872540.0	1	12
27	439	15902	-0.268507790000001	0.3065571	next_progenitor	244492800.0	10	12
28	488	38261	-0.268507790000001	0.16465916	next_progenitor	92893260.0	10	12
29	648	25211	-0.3333214400000006	1.0661869	next_progenitor	180774460.0	10	12
