	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
0	77	385	0.0	0.112734295	Merger	297532100.0	100	11
1	78	924	0.0	0.1874962	Merger	2745353200.0	100	11
2	79	2314	0.0	1.5995151	Merger	901579460.0	100	11
3	80	2316	0.0	0.20464721	Merger	144416160.0	100	11
4	81	3924	0.0	0.101540014	Merger	334693380.0	100	11
5	82	4435	0.0	0.82017946	Merger	91039040.0	100	11
6	83	7954	0.0	1.9009542	Merger	270783870.0	100	11
7	84	11569	0.0	0.16693504	Merger	400893540.0	100	11
8	85	14471	0.0	0.13413164	Merger	97741730.0	100	11
9	86	16271	0.0	0.12810855	Merger	147231180.0	100	11
10	87	17964	0.0	0.13980803	Merger	151704560.0	100	11
11	88	18073	0.0	0.14975406	Merger	99507304.0	100	11
12	89	19229	0.0	0.118306644	Merger	181567890.0	100	11
13	90	23232	0.0	0.3760174	Merger	112792230.0	100	11
14	91	27403	0.0	0.11301729	Merger	95078456.0	100	11
15	92	32682	0.0	0.13025865	Merger	85707416.0	100	11
16	93	33063	0.0	0.10559836	Merger	99032824.0	100	11
17	94	33825	0.0	0.17590365	Merger	90348264.0	100	11
18	120	18925	-0.0797020899999996	0.5405439	first_progenitor	172241260.0	1	11
19	148	7688	-0.1677020300000009	0.5119674	first_progenitor	239991870.0	1	11
20	203	20723	-0.1677020300000009	0.3852322	first_progenitor	144934860.0	1	11
21	395	21745	-0.2721656699999997	0.5152683	first_progenitor	136547660.0	1	11
22	462	21915	-0.3482098800000006	0.40785822	next_progenitor	202507410.0	10	11
23	530	24758	-0.3482098800000006	0.1738987	first_progenitor	85155440.0	1	11
