Subfind_ID	t-t_merg	q	Type	mass
438	0.4376466000000008	0.23595154	Descendant	82586.195
2215	0.4376466000000008	1.7433566	Descendant	109976.555
5688	0.4376466000000008	0.19109929	Descendant	0.0
5957	0.4376466000000008	0.2079543	Descendant	0.0
6390	0.4376466000000008	1.1339469	Descendant	0.0
8381	0.4376466000000008	0.10882452	Descendant	0.0
17111	0.4376466000000008	0.10060059	Descendant	0.0
17253	0.4376466000000008	0.1790831	Descendant	0.0
17289	0.4376466000000008	0.10091216	Descendant	46358.4
17503	0.4376466000000008	0.17105013	Descendant	197381.81
22182	0.4376466000000008	0.24740256	Descendant	106316.49
23448	0.4376466000000008	0.8406721	Descendant	36710.07
23977	0.4376466000000008	0.25112277	Descendant	106963.2
25323	0.4376466000000008	0.17503673	Descendant	0.0
25483	0.4376466000000008	0.52921563	Descendant	0.0
26839	0.4376466000000008	0.13010362	Descendant	0.0
28490	0.4376466000000008	0.5405439	Descendant	0.0
30073	0.4376466000000008	0.2672853	Descendant	0.0
33916	0.4376466000000008	0.11264139	Descendant	41881.723
35071	0.4376466000000008	0.4080877	Descendant	0.0
36336	0.4376466000000008	0.11066282	Descendant	0.0
40483	0.4376466000000008	0.20195916	Descendant	1149179.0
42408	0.4376466000000008	0.11141799	Descendant	0.0
