	Subfind_ID	t-t_merg	q	Type	mass	int_type	center	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2
96	17491	0.2447677449327105	1.4692492	Descendant	703666000.0	1000	13	3.5300977	0	89	585.8177948382397	612.8124297721159
97	33825	0.1677020300000009	0.17590365	Descendant	95091620.0	1000	13	0.4265145	1	361	60.97111093721486	186.68419208691114
98	2878	0.0	0.10125647	Merger	96642920.0	100	13	0.57794744	1	555	2.766439919248568	52.391569633196
99	6334	0.0	0.25367612	Merger	152160340.0	100	13	1.0245353	2	532	12.191276715540353	30.241876473138667
100	6335	0.0	0.5139543	Merger	104293050.0	100	13	0.26520383	1	738	58.89379293809442	70.87291663840486
101	6690	0.0	0.21855128	Merger	219815060.0	100	13	0.9895114	1	200	62.7892258404729	67.50694695511089
102	8317	0.0	0.2324089	Merger	589339650.0	100	13	4.488918	2	46	17.536646918807232	43.570104946481855
103	9834	0.0	0.15132529	Merger	173677460.0	100	13	0.8514824	2	400	15.968649973808969	40.9963838991435
104	10053	0.0	0.86982906	Merger	197061300.0	100	13	1.1606282	2	387	54.70627024546454	82.0731107490604
105	10849	0.0	0.25961024	Merger	474337180.0	100	13	2.4304721	3	82	62.63125588301385	77.14723577081232
106	11206	0.0	0.30640554	Merger	220654820.0	100	13	0.9817841	1	65	9.102303095664231	31.812339340738934
107	13035	0.0	0.5119674	Merger	1082256300.0	100	13	5.8450947	1	21	222.04182505299508	315.25406481018496
108	13141	0.0	0.20558754	Merger	122831670.0	100	13	0.4717887	1	312	33.30169385085934	34.75511341534883
109	15760	0.0	0.13110752	Merger	869059260.0	100	13	8.295783	1	32	296.5336997220954	311.7933149785461
110	16042	0.0	0.12977917	Merger	417295580.0	100	13	1.5036762	1	172	7.501083563573274	68.0220584928812
111	16177	0.0	0.2051207	Merger	791909800.0	100	13	5.044374	1	106	550.4909186201241	571.3899474049051
112	17164	0.0	0.21289493	Merger	182636240.0	100	13	1.1351367	1	242	30.089683283397004	85.96511488005592
113	18077	0.0	0.14603616	Merger	216536350.0	100	13	1.4064957	1	109	2.1080289410037283	41.04259501765476
114	18496	0.0	0.7439799	Merger	240012530.0	100	13	1.5646173	1	39	55.61901046825381	156.21906412822173
115	19744	0.0	0.34395814	Merger	349648030.0	100	13	1.4767877	1	92	9.229283446150632	57.337755296618866
116	21438	0.0	0.121951886	Merger	341866200.0	100	13	1.6998858	1	105	67.31068051899338	236.25512033334445
117	22275	0.0	0.18845071	Merger	327899620.0	100	13	1.2764843	2	332	84.31773462655218	84.59053872663104
118	24450	0.0	0.19062717	Merger	113551090.0	100	13	0.63928604	1	421	11.244712270328053	46.09121391920439
119	24759	0.0	0.1826363	Merger	274198370.0	100	13	1.3263963	2	185	38.17295763743106	71.43932354800361
120	24841	0.0	0.105632976	Merger	167411620.0	100	13	0.88439685	2	302	7.816986470623259	156.15123782802448
121	26240	0.0	0.21496466	Merger	412987500.0	100	13	1.4772176	1	56	41.85724248046276	226.64181087885316
122	27446	0.0	0.3049769	Merger	129985300.0	100	13	0.79889274	2	378	7.857732307526481	284.2156147136855
123	28681	0.0	0.65438193	Merger	102572590.0	100	13	0.6433024	1	335	13.300369457232334	101.51004336027302
124	29298	0.0	0.124486856	Merger	190785600.0	100	13	0.62693894	1	110	55.91667564485634	62.384802259519404
125	29476	0.0	0.6231339	Merger	322715100.0	100	13	1.9921795	2	164	79.07720443199196	93.08772525353986
126	29832	0.0	0.12347769	Merger	136356370.0	100	13	0.61517155	1	540	74.59594736368689	168.5360961243933
127	29906	0.0	0.17442277	Merger	172448240.0	100	13	0.9847227	1	119	3.8256301616248276	51.68801519010884
128	30165	0.0	0.27740628	Merger	235932110.0	100	13	1.3753575	2	208	237.01809396422615	331.6115760130298
129	30609	0.0	0.11807453	Merger	175752960.0	100	13	0.74464506	1	260	108.40279928877702	125.84702778451624
130	31674	0.0	0.13404821	Merger	198367070.0	100	13	0.6594944	1	85	143.82242553324016	151.18843731843455
131	31719	0.0	0.21363698	Merger	242895120.0	100	13	1.2654802	1	178	224.92802500802264	271.538233856278
132	32311	0.0	0.17021939	Merger	259008960.0	100	13	1.5529287	1	359	68.83386581670572	200.3227576398868
133	32656	0.0	0.122673005	Merger	155831680.0	100	13	0.6407991	1	193	21.48339331387705	143.06522830308202
134	33374	0.0	0.10001997	Merger	157321820.0	100	13	1.0860492	1	126	97.00719644982364	116.78177731605759
135	35622	0.0	0.1144097	Merger	107372424.0	100	13	0.55135065	2	517	18.46735061766083	87.37166427865165
136	35735	0.0	0.12385169	Merger	128422216.0	100	13	0.80563426	1	162	3.788172954862247	86.86143771373598
