	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
0	16	29249	0.0	0.14546192	Merger	153429280.0	101	15
1	218	53770	0.1044636399999987	0.20032579	Descendant	214829950.0	1000	15
2	268	53939	0.070864349999999	0.16929583	Descendant	250518430.0	1000	15
3	276	70391	0.070864349999999	0.21807808	Descendant	97536984.0	1000	15
4	280	3013	0.0	0.3068012	Merger	8590985000.0	100	15
5	281	3014	0.0	0.13582732	Merger	1238880400.0	100	15
6	282	3015	0.0	1.2138859	Merger	347378600.0	100	15
7	283	8464	0.0	0.21009316	Merger	131024504.0	100	15
8	284	9373	0.0	0.12968549	Merger	284070750.0	100	15
9	285	10920	0.0	0.20013513	Merger	92506870.0	100	15
10	286	11712	0.0	0.25798124	Merger	2146688400.0	100	15
11	287	15152	0.0	0.13028023	Merger	401264830.0	100	15
12	288	15830	0.0	0.12953582	Merger	719983940.0	100	15
13	289	17899	0.0	0.5193281	Merger	1908052400.0	100	15
14	290	18266	0.0	0.15500242	Merger	367533950.0	100	15
15	291	20655	0.0	1.6683372	Merger	580463040.0	100	15
16	292	23407	0.0	0.2818393	Merger	468429380.0	100	15
17	293	26751	0.0	1.704677	Merger	96309000.0	100	15
18	294	32490	0.0	0.15467116	Merger	394670200.0	100	15
19	295	32896	0.0	0.15410559	Merger	344072540.0	100	15
20	296	33342	0.0	0.18936935	Merger	222689940.0	100	15
21	297	33438	0.0	0.11607247	Merger	275357540.0	100	15
22	298	38138	0.0	2.0895941	Merger	98745040.0	100	15
23	299	38870	0.0	0.5152683	Merger	223512910.0	100	15
24	300	41386	0.0	0.18344569	Merger	175439860.0	100	15
25	301	42252	0.0	0.46187863	Merger	241672020.0	100	15
26	302	53881	0.0	1.5193444	Merger	170208370.0	100	15
27	303	57457	0.0	0.23674993	Merger	139705840.0	100	15
28	304	59830	0.0	1.3025488	Merger	167696690.0	100	15
29	305	62145	0.0	0.3618392	Merger	243631150.0	100	15
30	306	62222	0.0	0.10106364	Merger	150058910.0	100	15
31	307	62379	0.0	0.66861016	Merger	167649460.0	100	15
32	308	63532	0.0	0.23665032	Merger	103639224.0	100	15
33	309	64201	0.0	0.17316982	Merger	175012780.0	100	15
34	310	68526	0.0	0.12330645	Merger	146163020.0	100	15
35	311	71615	0.0	0.10810824	Merger	125465300.0	100	15
36	312	71895	0.0	0.3591738	Merger	95347620.0	100	15
37	313	72696	0.0	0.18036062	Merger	175497970.0	100	15
38	314	73172	0.0	0.2866446	Merger	161952100.0	100	15
39	315	74814	0.0	0.103282295	Merger	112060230.0	100	15
40	316	75841	0.0	1.0312872	Merger	106766670.0	100	15
41	317	77852	0.0	0.10029049	Merger	99746264.0	100	15
42	318	79597	0.0	0.20681362	Merger	112231496.0	100	15
43	319	79629	0.0	0.37916648	Merger	149426780.0	100	15
44	320	80156	0.0	1.1912884	Merger	99702200.0	100	15
45	321	87562	0.0	0.19137862	Merger	86557540.0	100	15
46	322	95643	0.0	0.13000241	Merger	132166970.0	100	15
47	346	31726	-0.0760442100000009	0.19326612	first_progenitor	106496344.0	1	15
48	414	66361	-0.0760442100000009	0.17370342	first_progenitor	188964540.0	1	15
49	463	5487	-0.1408578600000005	0.17804465	next_progenitor	731602370.0	10	15
50	582	63103	-0.1408578600000005	0.48965532	first_progenitor	113104800.0	1	15
51	636	79966	-0.1408578600000005	0.4082334	next_progenitor	136210450.0	10	15
52	680	27878	-0.2451830200000007	0.16654414	first_progenitor	656289150.0	1	15
53	860	52257	-0.3294061600000013	0.86173934	first_progenitor	90860820.0	1	15
54	1038	91900	-0.3294061600000013	0.18459684	next_progenitor	97275030.0	10	15
