	level_0	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
300	39	163	650828	0.0	0.45377642	Merger	439957500.0	100	74
301	40	164	654458	0.0	0.13862102	Merger	727712400.0	100	74
302	41	165	665963	0.0	0.10852399	Merger	321457180.0	100	74
303	42	166	668428	0.0	0.37352931	Merger	151446540.0	100	74
304	43	167	670938	0.0	0.10354857	Merger	428093060.0	100	74
305	44	168	671726	0.0	0.42211965	Merger	87023590.0	100	74
306	45	169	674091	0.0	0.16481434	Merger	194350740.0	100	74
307	46	170	683547	0.0	0.1850282	Merger	224128750.0	100	74
308	47	171	686434	0.0	0.1961601	Merger	121756770.0	100	74
309	48	172	706246	0.0	0.256207	Merger	318485440.0	100	74
310	49	173	720079	0.0	0.46801835	Merger	135772690.0	100	74
311	50	174	118	-0.1132655053233335	0.8451276	first_progenitor	804087550.0	1	74
312	51	175	116	-0.1132655053233335	0.8451276	next_progenitor	4709111300.0	10	74
313	52	176	197	-0.1132655053233335	0.9816579	first_progenitor	2330747400.0	1	74
314	53	177	200	-0.1132655053233335	0.9816579	next_progenitor	2389968000.0	10	74
315	0	39	627604	0.447943625323334	0.43100226	Descendant	2744301000.0	1000	75
316	1	40	627936	0.447943625323334	0.49025503	Descendant	2102695700.0	1000	75
317	2	130	671726	0.1132655053233335	0.42211965	Descendant	521167330.0	1000	75
318	3	136	114	0.0	0.8451276	Merger	4797293000.0	100	75
319	4	137	194	0.0	0.9816579	Merger	2411280400.0	100	75
320	5	138	79340	0.0	0.9625841	Merger	4816881700.0	100	75
321	6	139	93472	0.0	0.36738762	Merger	5707362300.0	100	75
322	7	140	107558	0.0	1.004155	Merger	1645238500.0	100	75
323	8	141	121156	0.0	0.3977566	Merger	223762300000.0	100	75
324	9	142	177058	0.0	0.7631643	Merger	643075650.0	100	75
325	10	143	234438	0.0	0.12972304	Merger	642680500000.0	100	75
326	11	144	239151	0.0	0.8200209	Merger	878504500.0	100	75
327	12	145	282499	0.0	0.44208622	Merger	3880991700.0	100	75
328	13	146	294146	0.0	1.0451105	Merger	3936115700.0	100	75
329	14	147	294157	0.0	1.1580184	Merger	1315791000.0	100	75
330	15	148	312712	0.0	0.17108728	Merger	145880840000.0	100	75
331	16	149	349985	0.0	1.6547376	Merger	100976930000.0	100	75
332	17	150	353463	0.0	1.6112744	Merger	34205460000.0	100	75
333	18	151	357340	0.0	0.26718563	Merger	21119187000.0	100	75
334	19	152	367936	0.0	1.1299014	Merger	3238258700.0	100	75
335	20	153	373541	0.0	1.6316777	Merger	977751550.0	100	75
336	21	154	400208	0.0	0.14222166	Merger	5923686000.0	100	75
337	22	155	414419	0.0	0.21230496	Merger	69484340000.0	100	75
338	23	156	416632	0.0	0.1777355	Merger	143037630.0	100	75
339	24	157	433460	0.0	0.38205996	Merger	49577770000.0	100	75
340	25	158	435283	0.0	0.29741624	Merger	1292679400.0	100	75
341	26	159	435855	0.0	0.20582646	Merger	1529072600.0	100	75
342	27	160	462291	0.0	2.3976703	Merger	8582667000.0	100	75
343	28	161	468842	0.0	0.15708625	Merger	1855934600.0	100	75
344	29	162	496062	0.0	0.14753751	Merger	561764000.0	100	75
345	30	163	503174	0.0	0.1947848	Merger	817393400.0	100	75
346	31	164	505269	0.0	1.3652743	Merger	1048256450.0	100	75
347	32	165	550456	0.0	2.5497315	Merger	8619882000.0	100	75
348	33	166	588918	0.0	1.6549913	Merger	435413730.0	100	75
349	34	167	591020	0.0	1.2358502	Merger	864764740.0	100	75
350	35	168	595163	0.0	0.1259114	Merger	2020176000.0	100	75
351	36	169	604854	0.0	0.9486479	Merger	395998340.0	100	75
352	37	170	622055	0.0	0.18554425	Merger	1362675100.0	100	75
353	38	171	622559	0.0	0.16523467	Merger	703089340.0	100	75
354	39	172	643326	0.0	2.0771916	Merger	157962780.0	100	75
355	40	173	645339	0.0	0.17668416	Merger	351746800.0	100	75
356	41	174	650825	0.0	0.38894108	Merger	92354344.0	100	75
357	42	175	653584	0.0	1.8576666	Merger	418519740.0	100	75
358	43	176	658078	0.0	0.25178078	Merger	210892640.0	100	75
359	44	177	673534	0.0	0.35279325	Merger	150762140.0	100	75
360	45	178	685789	0.0	2.3628805	Merger	164155580.0	100	75
361	46	179	693929	0.0	0.16566278	Merger	89609150.0	100	75
362	47	180	703556	0.0	0.16429202	Merger	202972200.0	100	75
363	48	181	705425	0.0	0.2344998	Merger	99146010.0	100	75
364	49	182	756618	0.0	0.12073652	Merger	103082650.0	100	75
