Subfind_ID	t-t_merg	q	Type	mass
465	0.0	0.6703479	Merger	600508800.0
91711	0.0	0.14580531	Merger	803267540000.0
119183	0.0	0.82171166	Merger	1215105500.0
217798	0.0	0.10236703	Merger	37677750000.0
314361	0.0	0.84860104	Merger	2906032400.0
321989	0.0	0.12823567	Merger	260042700.0
362593	0.0	0.1425518	Merger	109081150000.0
383018	0.0	0.66523224	Merger	27921482000.0
401103	0.0	1.6324191	Merger	4755881000.0
422477	0.0	0.10454389	Merger	28255113000.0
467197	0.0	0.3277651	Merger	16073093000.0
530680	0.0	0.16544062	Merger	1324050000.0
539627	0.0	1.9918603	Merger	1723282700.0
541200	0.0	0.93775976	Merger	2650201600.0
543939	0.0	0.27219394	Merger	2435117600.0
546477	0.0	0.1599415	Merger	4284860000.0
550050	0.0	1.220855	Merger	1680268300.0
555506	0.0	0.25134736	Merger	1233985200.0
574480	0.0	0.16153316	Merger	764922430.0
581087	0.0	0.15406926	Merger	2251209500.0
585242	0.0	0.1834351	Merger	169782620.0
593721	0.0	0.25768942	Merger	444522800.0
604925	0.0	1.3698132	Merger	92791256.0
605824	0.0	0.11875247	Merger	303638080.0
612922	0.0	0.21501681	Merger	2257366800.0
626207	0.0	0.15999238	Merger	434109660.0
630069	0.0	2.4460948	Merger	246195470.0
630171	0.0	0.28773382	Merger	434567100.0
640165	0.0	0.16979457	Merger	287211260.0
646895	0.0	0.18414646	Merger	97138260.0
657930	0.0	0.107803605	Merger	214970700.0
658103	0.0	0.16037233	Merger	285378560.0
663578	0.0	0.106442615	Merger	129276570.0
668189	0.0	0.10332661	Merger	107881064.0
672235	0.0	0.15602726	Merger	137827090.0
675211	0.0	0.5061629	Merger	143595970.0
681202	0.0	0.19013017	Merger	91838640.0
685545	0.0	0.69512767	Merger	88962500.0
