	SubhaloID	Mass	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2	matched_to_merger_subid	ngrows
824	106427	619909740000.0	36.556805	0.0	0	19356.199266812575	19515.49472568295	212955	0
309	364	178363000.0	1.5386305	0.0	6	95.91620486463349	109.31297187376826	712944	0
1	1	2133679100000.0	0.28088593	0.0	3	727.3496575232398	727.961649750511	0	2
4727	552253	4366952400.0	0.26615167	0.0	0	18590.222393287706	18987.582126044283	140	0
7452	682269	335840600.0	0.1101774	0.0	0	9037.688413191141	9365.290125738515	557919	0
7262	676250	154689760.0	0.051525887	0.0	0	9573.793125026066	9827.670130410681	119183	0
8786	733600	87908230.0	0.018431515	0.0	0	20156.610573965656	20360.064052839152	626207	0
6377	643240	1310596100.0	0.42156494	0.0	0	21043.560287672168	21210.203935419504	119197	0
5007	570841	1629674900.0	0.30560255	0.0	0	19181.415646800113	19422.344722075064	133418	0
1777	237099	372522160000.0	4.307334	0.0	0	10579.324409298755	11021.969924046592	158382	0
2819	359875	96076505000.0	4.9316454	0.0	0	13902.439084305306	14202.998530008841	173635	0
1976	266801	240761060000.0	1.1877401	0.0	0	7643.636347679378	7884.251422139298	181951	0
1840	246930	225742650000.0	1.2073355	0.0	0	17568.06834076309	17810.404266561713	252137	0
908	119144	210665130000.0	1.1801432	0.0	0	16274.645987113112	16677.834294655662	263413	0
3232	406287	85616300000.0	4.919168	0.0	0	6673.064242616998	7055.591406589385	295817	0
8900	740910	154456380.0	0.03289076	0.0	0	15536.695692972988	15987.284433709992	304142	0
5747	612868	1067980800.0	0.2951774	0.0	0	19580.859411516198	19895.87289505423	313119	0
6294	639317	616228160.0	0.03927244	0.0	0	5083.296007568659	5337.013999456845	316773	0
6065	628691	703660800.0	0.21167095	0.0	0	21147.485266645628	21368.918709012993	316785	0
4967	568028	4995927600.0	0.75404865	0.0	0	10300.750976674615	10613.772780838348	326889	0
4832	559583	1166209000.0	0.2025931	0.0	0	2980.5767607774205	3009.3076699108537	340382	0
4044	492344	17175226000.0	2.8241088	0.0	0	18524.83999659979	18883.51595579427	347958	0
5767	613927	1277048000.0	0.19317254	0.0	0	20165.714466111684	20562.772763092657	356314	0
1429	189436	2195253800.0	0.062518075	0.0	0	15523.070066587761	15656.750237118518	356316	0
2095	276937	36806566000.0	0.7045772	0.0	0	3517.113311559805	3599.218919097055	358815	0
1364	181953	90940770000.0	1.9490433	0.0	0	3773.9644047278994	3868.015338357572	363697	0
6770	658663	435837800.0	0.10579014	0.0	0	13924.66687872647	14184.859978049888	371697	0
3678	456204	29587313000.0	1.0794055	0.0	0	16234.978588441587	16491.78490111599	425245	0
5403	594584	506082400.0	0.051365115	0.0	0	6613.804846226492	6909.799766891362	435666	0
599	77365	13404375000.0	0.012078334	0.0	0	20880.219972896757	21067.556736479117	441824	0
4145	502104	14787131000.0	3.3392375	0.0	0	21391.800376229497	21568.065005776014	475906	0
5881	619684	693705800.0	0.074314505	0.0	0	12059.687754668777	12518.148230259745	488873	0
5213	583741	5212498400.0	0.81268996	0.0	0	6388.209628025146	6487.541477808545	516941	0
2894	367353	3247184400.0	0.049960695	0.0	0	3042.892408819037	3572.382132432644	522235	0
720	91896	5497558500.0	1.0439771	0.0	0	7160.26943625091	7291.1150617296325	546814	0
5647	607600	2043786600.0	0.67190284	0.0	0	11340.98722512988	11721.824770226076	566114	0
5462	597765	1354930600.0	0.13325693	0.0	0	8456.549430262305	8583.25884289265	566649	0
6828	660662	897505100.0	0.088551775	0.0	0	17673.72863241258	17774.170432749695	587808	0
6326	640909	1023559000.0	0.06714167	0.0	0	5833.79505571894	5895.85042189248	590054	0
2348	310127	759080900.0	0.023497809	0.0	0	13180.758598522363	13345.054158395775	592465	0
5670	608778	732716200.0	0.15954758	0.0	0	13410.065998646116	13826.992169009925	609073	0
6427	645344	501010700.0	0.022814408	0.0	0	11096.97999514797	11462.659861329603	614265	0
1103	143707	816375100.0	0.0002819526	0.0	0	10657.392309517838	10994.26844796674	615430	0
1567	201374	124997416.0	0.082765676	0.0	0	0.0	0.0	618821	0
136	136	202077920.0	0.0115988245	0.0	6	516.2285941183111	656.8953607852216	622568	0
6635	653675	1105372200.0	0.24180412	0.0	0	3771.854651066827	4342.0106498390305	625529	0
8897	740430	100578520.0	0.01933116	0.0	0	15560.438485574792	15995.073275890225	627604	0
1674	222229	299300500.0	0.036305588	0.0	0	6834.964458341152	7332.103392825797	627936	0
8362	712821	608584900.0	0.07106469	0.0	0	6912.480491355936	7401.785188075518	638858	0
5907	620927	687683600.0	0.02396046	0.0	0	15829.481434484318	15883.490744587803	642924	0
8864	738505	285354660.0	0.036526356	0.0	0	11950.570066227394	12042.332498684402	646631	0
4891	563289	277222080.0	0.060100067	0.0	0	11499.870430523923	11696.755382169657	652547	0
5501	600007	567255040.0	0.24997436	0.0	0	11756.428803375005	11996.816519739225	659345	0
1281	166451	310562720.0	0.000611634	0.0	0	13612.237225931542	13621.350503989559	665260	0
7630	688120	215780780.0	0.0273433	0.0	0	11595.383047635072	11937.917361096885	668555	0
933	119169	387773200.0	0.08920056	0.0	0	16547.94198977442	16968.921508258616	669943	0
2223	292624	1843484800.0	0.44981554	0.0	0	8154.067459228868	8412.248613733285	316783	0
7915	697366	258255760.0	0.12890817	0.0	0	8499.700748177855	8823.46549938972	360901	0
