	SubhaloID	Mass	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2	matched_to_merger_subid	ngrows
4967	577877	2783354600.0	0.44768038	0.0	0	16108.739037339068	16204.04767021482	627604	0
5298	598404	2292788200.0	0.53149277	0.0	0	21398.84084399883	21473.05222867652	627936	0
6531	659042	536450620.0	0.047116026	0.0	1	1830.3053462451503	2184.538540876851	671726	0
4636	554804	5594311000.0	0.9711177	0.0	0	19176.43887666711	19239.079981003117	93472	0
1216	160890	1570043900.0	0.028495157	0.0	0	7164.342879118087	7187.248305157322	107558	0
1545	205441	229139330000.0	1.3049461	0.0	0	17854.39627341271	17937.885796827806	121156	0
6064	638210	626382300.0	0.06301466	0.0	0	15428.103735437298	15491.551060237818	177058	0
823	107505	631440300000.0	11.417219	0.0	0	19639.498475321143	19697.182783896864	234438	0
6678	664498	954178700.0	0.10511126	0.0	0	4625.64587825565	4884.744560430226	239151	0
732	93457	4224770600.0	0.8180913	0.0	0	6998.734346839447	7213.838601291858	282499	0
4326	529357	4132318500.0	0.3659294	0.0	0	12729.613185595528	12806.928926114115	294146	0
6410	654325	1258056000.0	0.3293906	0.0	0	10313.43367004372	10344.565023567642	294157	0
2637	346987	152252740000.0	6.1086497	0.0	0	3411.2068976934975	3734.5117337162224	312712	0
2925	377713	109070580000.0	1.7183818	0.0	0	21373.830881456186	21431.616791282362	349985	0
3863	483481	32627999000.0	1.7479714	0.0	0	17082.203731113994	17193.34485699825	353463	0
726	93451	23031542000.0	0.47165734	0.0	0	6871.222780180127	7101.358221233006	357340	0
4364	532388	3018396700.0	0.5639985	0.0	0	10048.510761620057	10146.882716092356	367936	0
2618	343225	893842050.0	0.026610915	0.0	0	17176.33483153975	17285.136998840062	373541	0
4546	547522	6522167300.0	1.3127476	0.0	0	19817.812539461105	19846.357632700852	400208	0
3174	406439	70752920000.0	12.871916	0.0	0	21110.449139400684	21163.401589211277	414419	0
7791	702946	154893360.0	0.027950857	0.0	0	21481.67706442018	21625.417950230833	416632	0
1379	185089	51818783000.0	0.0027635985	0.0	0	3948.67224013216	4010.920626586182	433460	0
5451	606933	1426469100.0	0.0961526	0.0	0	8541.089833229562	8544.826349466162	435283	0
5661	618366	1528909700.0	0.25080475	0.0	0	8702.84188945763	8941.870624509764	435855	0
2616	343223	8540190000.0	0.47162122	0.0	0	17061.813476568066	17170.332011963965	462291	0
1602	213035	1813085300.0	0.32874238	0.0	0	9067.792158675871	9143.839950687647	468842	0
5307	598935	523330620.0	0.1179803	0.0	0	7491.207491137435	7576.383600308828	496062	0
1558	205454	857414500.0	0.07789913	0.0	0	17699.86944576075	17783.96163564055	503174	0
6319	650080	1123268500.0	0.08105807	0.0	0	15455.519006549377	15485.694676793879	505269	0
4507	544393	8282904600.0	1.0552558	0.0	0	5849.077659360084	6004.970293165871	550456	0
1212	160886	447683680.0	0.10777421	0.0	0	7071.961673269278	7105.749003944562	588918	0
7498	693278	925288000.0	0.20540121	0.0	0	11237.03048276936	11297.48618342791	591020	0
4676	558094	2049994500.0	0.54915524	0.0	0	11077.428144890306	11193.236802238325	595163	0
8048	710687	374890370.0	0.06268517	0.0	0	17611.275705931766	17757.915891980043	604854	0
5835	627323	1279983000.0	0.08690688	0.0	0	21242.611337468017	21387.32311864659	622055	0
7048	678322	710008400.0	0.14408271	0.0	0	18308.651633177593	18396.28465550738	622559	0
8330	719765	153849150.0	0.0489679	0.0	0	4359.537610283002	4479.828389908442	643326	0
7615	697096	333771070.0	0.098305635	0.0	0	22266.58809343186	22326.820925949072	645339	0
8876	746637	90995256.0	0.026452329	0.0	0	16791.947979220746	16901.811608097476	650825	0
4787	566009	404241700.0	0.07355396	0.0	0	4955.720962434028	5096.1841520729695	653584	0
8052	710771	221036660.0	0.044091053	0.0	0	3732.803707411387	3784.0453647278855	658078	0
8495	726749	158584850.0	0.023175964	0.0	0	7649.973215592475	7770.433981721542	673534	0
8212	715956	176254690.0	0.030902006	0.0	0	7580.718721500778	7721.282782354311	685789	0
8423	723884	85143500.0	0.0211029	0.0	0	19348.852688499508	19385.23885721555	693929	0
2541	333599	190027780.0	0.036670763	0.0	0	21121.752559272638	21219.741151287704	703556	0
7626	697611	103432680.0	0.021991044	0.0	0	18502.204356128786	18644.562567682715	705425	0
8959	753133	101551450.0	0.015565007	0.0	0	16196.434916192213	16294.774984277652	756618	0
