Subfind_ID	t-t_merg	q	Type	mass
0	0.0	0.1764896	Merger	2221113600000.0
140	0.0	0.86678463	Merger	4003823400.0
118281	0.0	1.3004289	Merger	25205700000.0
189846	0.0	0.1055484	Merger	2178371300.0
285051	0.0	0.47044626	Merger	61736505000.0
286769	0.0	1.0076901	Merger	885811300.0
289898	0.0	0.86353755	Merger	1170132900.0
317576	0.0	0.13944428	Merger	72586445000.0
346548	0.0	0.92019916	Merger	1737286900.0
371885	0.0	1.2354707	Merger	1784534700.0
372920	0.0	0.7746189	Merger	2377930200.0
378928	0.0	0.13822024	Merger	20725613000.0
434886	0.0	0.14863278	Merger	2383058700.0
441204	0.0	0.11047449	Merger	10330760000.0
458583	0.0	0.70129776	Merger	444085920.0
459827	0.0	0.40380546	Merger	19683050000.0
461094	0.0	0.19281445	Merger	8218557000.0
463865	0.0	0.27808303	Merger	2407306500.0
495613	0.0	0.24732351	Merger	9897425000.0
499476	0.0	0.13458826	Merger	11618692000.0
505306	0.0	0.17639576	Merger	143447790.0
511114	0.0	0.24763745	Merger	5790946300.0
525446	0.0	0.15517022	Merger	5319096300.0
540850	0.0	0.13435835	Merger	1606099700.0
551917	0.0	0.22842799	Merger	2039687200.0
557400	0.0	0.13861199	Merger	1446314500.0
557919	0.0	0.16289699	Merger	166693660.0
562361	0.0	0.26245838	Merger	2832815600.0
580025	0.0	0.13820301	Merger	419253380.0
580423	0.0	0.13425067	Merger	1156785400.0
597185	0.0	0.1408805	Merger	1115564200.0
607835	0.0	0.35681397	Merger	192352290.0
611756	0.0	0.10918931	Merger	418422530.0
614078	0.0	0.33474788	Merger	415443420.0
626801	0.0	0.28831524	Merger	355696000.0
628881	0.0	0.23742715	Merger	504494750.0
638308	0.0	0.3899381	Merger	236497660.0
638682	0.0	0.44239354	Merger	298416350.0
659523	0.0	0.12582257	Merger	265034260.0
659900	0.0	0.19027781	Merger	242979680.0
670068	0.0	0.2728648	Merger	93859410.0
687434	0.0	1.2369988	Merger	139639660.0
702248	0.0	0.25426552	Merger	119400616.0
702393	0.0	0.3053144	Merger	137806620.0
721764	0.0	0.11553202	Merger	84174710.0
734081	0.0	0.21159892	Merger	98543520.0
