	Subfind_ID	t-t_merg	q	Type	mass	int_type	center	sfr	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2
523	24	0.391082511087589	0.2141508	Descendant	7511701500.0	1000	40	0.21101941	0.21101941	0	78	107.63204306786236	135.21376436149347
524	33	0.391082511087589	0.36086532	Descendant	899570370.0	1000	40	1.154231	1.154231	0	210	54.62727750175471	134.2574711645327
525	19	0.2553504599999989	0.13820219	Descendant	6584406000.0	1000	40	0.28202367	0.28202367	0	79	84.92449531974172	147.12725646619234
526	397965	0.2553504599999989	0.123035	Descendant	2195502000.0	1000	40	1.355237	1.355237	1	40	424.7745086031119	661.290861283027
527	475875	0.2553504599999989	0.31255585	Descendant	268318160.0	1000	40	0.06322828	0.06322828	0	44	63.892699065679224	794.8083484252412
528	476460	0.2553504599999989	0.119544886	Descendant	1147118200.0	1000	40	0.62664485	0.62664485	0	43	207.43322419822283	489.7934088546751
529	75	0.0867197700000002	4.6141605	Descendant	108835860.0	1000	40	0.06451089	0.06451089	0	604	70.18168905456265	100.58018750112082
531	15233	0.0867197700000002	0.15924715	Descendant	3277927400.0	1000	40	0.6463415	0.6463415	0	142	180.05761998729596	180.6198021571605
532	403083	0.0867197700000002	1.3197467	Descendant	3763752200.0	1000	40	0.89847684	0.89847684	0	2	316.06660368183833	1186.8106177543561
533	475929	0.0867197700000002	0.32158998	Descendant	252371870.0	1000	40	0.07348972	0.07348972	0	44	10.067069830619346	460.2821396326443
534	36234	0.0	0.3112746	Merger	494730250000.0	100	40	15.514295	15.514295	1	6	49.27741495347985	236.5029925785299
535	36236	0.0	0.499631	Merger	92335290000.0	100	40	18.075031	18.075031	1	16	37.27281983325288	49.68236119698904
537	51932	0.0	0.9771884	Merger	3411195400.0	100	40	0.5843712	0.5843712	1	51	51.43284475094855	93.85875916653818
538	62930	0.0	0.20964043	Merger	178905000.0	100	40	0.06464176	0.06464176	2	128	57.309767560097264	65.50754674793183
540	93692	0.0	0.18924344	Merger	164994660000.0	100	40	0.27019963	0.27019963	1	3	669.8512807934995	1269.889962794241
541	110115	0.0	0.3237371	Merger	1142019600.0	100	40	1.1092578	1.1092578	1	68	137.0525074307771	153.78037224130074
542	119693	0.0	0.3496266	Merger	141015560000.0	100	40	3.4391575	3.4391575	1	9	885.8336526108653	1104.7639742919214
543	124040	0.0	0.12302632	Merger	60023060000.0	100	40	41.99017	41.99017	1	11	39.99882905872428	170.6795280960557
544	129305	0.0	0.10994748	Merger	65079370000.0	100	40	10.308594	10.308594	1	16	202.38478767951386	362.6351664273201
545	131688	0.0	0.19535846	Merger	378418270.0	100	40	0.3667719	0.3667719	1	117	16.013410995962058	31.5126890130242
546	135955	0.0	0.12304584	Merger	367109200.0	100	40	0.047279995	0.047279995	1	193	117.43713806178	122.27590032562458
547	145449	0.0	1.7282249	Merger	6426812000.0	100	40	5.6376925	5.6376925	1	16	25.42647277313962	227.3257058855908
548	148468	0.0	0.33161518	Merger	3292878000.0	100	40	3.1594183	3.1594183	1	42	32.91528875041525	91.05998493788691
