Subfind_ID	t-t_merg	q	Type	mass
36234	0.0	0.3112746	Merger	494730250000.0
36236	0.0	0.499631	Merger	92335290000.0
36283	0.0	0.27397263	Merger	154247970.0
51932	0.0	0.9771884	Merger	3411195400.0
62930	0.0	0.20964043	Merger	178905000.0
87010	0.0	0.1962944	Merger	276480330000.0
93692	0.0	0.18924344	Merger	164994660000.0
110115	0.0	0.3237371	Merger	1142019600.0
119693	0.0	0.3496266	Merger	141015560000.0
124040	0.0	0.12302632	Merger	60023060000.0
129305	0.0	0.10994748	Merger	65079370000.0
131688	0.0	0.19535846	Merger	378418270.0
135955	0.0	0.12304584	Merger	367109200.0
145449	0.0	1.7282249	Merger	6426812000.0
148468	0.0	0.33161518	Merger	3292878000.0
170096	0.0	0.25907567	Merger	41679930000.0
194873	0.0	0.12228801	Merger	117691976.0
209243	0.0	0.18434177	Merger	593249500.0
209744	0.0	0.12612018	Merger	27333753000.0
209747	0.0	0.15488842	Merger	217908780.0
211064	0.0	0.10931617	Merger	470111940.0
216961	0.0	0.1902847	Merger	19485210000.0
228634	0.0	0.10618934	Merger	771789630.0
232108	0.0	1.364449	Merger	2031652500.0
239266	0.0	0.45839697	Merger	909350460.0
243550	0.0	0.91189003	Merger	458554340.0
245230	0.0	0.18603656	Merger	333847700.0
248318	0.0	0.18298434	Merger	237729540.0
251038	0.0	0.10514393	Merger	10980607000.0
254268	0.0	0.15732001	Merger	212756240.0
258667	0.0	0.26592377	Merger	699555100.0
263790	0.0	1.1993265	Merger	16096408000.0
264649	0.0	0.12759413	Merger	119902830.0
264939	0.0	0.13111281	Merger	9058603000.0
277203	0.0	0.123949915	Merger	20689932000.0
285250	0.0	0.34894148	Merger	98442030.0
289514	0.0	0.15609479	Merger	1959839900.0
297404	0.0	0.21792197	Merger	8682093000.0
299098	0.0	0.17056915	Merger	2876786700.0
300277	0.0	0.33070457	Merger	2119533800.0
305537	0.0	0.20462835	Merger	99726920.0
305994	0.0	0.20142743	Merger	5651852000.0
310743	0.0	0.25512925	Merger	705912640.0
319900	0.0	1.6898873	Merger	1331772000.0
320765	0.0	0.1743372	Merger	4233713000.0
329990	0.0	0.19508575	Merger	3103488500.0
338413	0.0	0.4193866	Merger	2037081000.0
340254	0.0	0.8818441	Merger	2513506300.0
342238	0.0	0.5891442	Merger	1044210940.0
345169	0.0	0.12284843	Merger	3374132500.0
348021	0.0	0.13677979	Merger	396383360.0
348287	0.0	0.121467374	Merger	2538646000.0
349396	0.0	0.106311925	Merger	1752839400.0
349693	0.0	0.92234474	Merger	145956180.0
351420	0.0	0.10090378	Merger	3269661000.0
357887	0.0	0.6730737	Merger	1362666000.0
358243	0.0	0.27623236	Merger	2617491500.0
359205	0.0	2.137522	Merger	270704420.0
359377	0.0	0.34710985	Merger	86567256.0
361371	0.0	0.1715607	Merger	203956210.0
361373	0.0	0.304044	Merger	337945340.0
367077	0.0	0.20716451	Merger	361244600.0
367801	0.0	0.20991519	Merger	122143730.0
371407	0.0	0.36653578	Merger	1725843800.0
373959	0.0	0.12755492	Merger	2469559000.0
377273	0.0	0.2966957	Merger	863773950.0
380915	0.0	0.13471341	Merger	139910110.0
385417	0.0	0.21035483	Merger	1137175800.0
389280	0.0	0.12278054	Merger	2380203000.0
393931	0.0	0.14966528	Merger	1132676100.0
395368	0.0	0.2314243	Merger	180255180.0
398268	0.0	0.18531519	Merger	1667525400.0
400120	0.0	0.14012626	Merger	2125264600.0
411684	0.0	0.6683658	Merger	135262640.0
412395	0.0	0.104935706	Merger	1310000900.0
416690	0.0	0.1592413	Merger	2125440300.0
417255	0.0	1.779519	Merger	1439203100.0
419280	0.0	0.1379102	Merger	1605554400.0
419411	0.0	0.31789747	Merger	218552270.0
421727	0.0	0.30084386	Merger	418251170.0
422120	0.0	0.24486148	Merger	425909380.0
423389	0.0	0.42719904	Merger	1217408300.0
428113	0.0	0.14058603	Merger	1271278000.0
431521	0.0	0.14110288	Merger	945805060.0
434122	0.0	0.10546916	Merger	510347600.0
435037	0.0	0.19450654	Merger	695764860.0
437412	0.0	0.11758917	Merger	855546240.0
438862	0.0	0.13966557	Merger	252289000.0
441236	0.0	0.1232325	Merger	960810940.0
445318	0.0	0.43834287	Merger	578360260.0
447350	0.0	0.23553684	Merger	765808100.0
449003	0.0	0.24607287	Merger	620403900.0
451708	0.0	0.13916825	Merger	118917220.0
453693	0.0	0.3399892	Merger	128447050.0
457772	0.0	1.1147344	Merger	558157700.0
458419	0.0	0.23276214	Merger	129456880.0
459185	0.0	0.1592425	Merger	748652200.0
465275	0.0	0.31052902	Merger	378889440.0
465618	0.0	0.21070938	Merger	298009000.0
465852	0.0	1.2430859	Merger	114391470.0
468521	0.0	0.1450235	Merger	336029760.0
470567	0.0	0.6234078	Merger	459444800.0
471718	0.0	0.14378628	Merger	452917060.0
472297	0.0	0.103302464	Merger	301738020.0
473988	0.0	0.3177242	Merger	507913180.0
477221	0.0	0.19719967	Merger	500098800.0
477794	0.0	0.27735662	Merger	337397120.0
479533	0.0	1.1931145	Merger	329857020.0
480635	0.0	0.15065676	Merger	729936900.0
481428	0.0	0.11519471	Merger	84933330.0
481852	0.0	0.26534256	Merger	365989250.0
488529	0.0	0.18670641	Merger	333861660.0
488738	0.0	0.14915949	Merger	395684480.0
488980	0.0	0.13093546	Merger	196396110.0
491147	0.0	0.18617281	Merger	358119300.0
491236	0.0	0.23133402	Merger	349692700.0
492615	0.0	0.43874428	Merger	621678200.0
493700	0.0	0.7573882	Merger	337537860.0
501055	0.0	0.104026385	Merger	240280180.0
502194	0.0	0.11171324	Merger	100178640.0
502591	0.0	0.13715789	Merger	320596160.0
502664	0.0	0.1892301	Merger	403827870.0
503988	0.0	0.1422506	Merger	504380700.0
507396	0.0	1.3632048	Merger	423059520.0
507936	0.0	0.111633755	Merger	215421500.0
509252	0.0	1.3324414	Merger	556354940.0
510232	0.0	0.12387163	Merger	298997380.0
512555	0.0	0.16981152	Merger	117892050.0
513232	0.0	0.3025548	Merger	229092110.0
519340	0.0	0.52832747	Merger	114380620.0
520656	0.0	0.4801045	Merger	135409010.0
525180	0.0	0.39109913	Merger	103735400.0
526900	0.0	0.909106	Merger	130899096.0
526934	0.0	0.11378027	Merger	314193440.0
528947	0.0	0.36683553	Merger	226498780.0
534003	0.0	0.33233514	Merger	248426240.0
537172	0.0	1.4748527	Merger	157384540.0
544171	0.0	0.9124366	Merger	157442780.0
544447	0.0	0.33198568	Merger	286202270.0
544890	0.0	0.37827352	Merger	180391000.0
549564	0.0	0.36457115	Merger	100801900.0
553198	0.0	0.25911918	Merger	92949210.0
554974	0.0	0.61507195	Merger	115302856.0
559935	0.0	0.16624472	Merger	153337140.0
561654	0.0	0.28638574	Merger	143656940.0
562315	0.0	0.38459486	Merger	154064480.0
564874	0.0	0.37812522	Merger	166488850.0
569116	0.0	0.20024844	Merger	120603670.0
570267	0.0	0.10569192	Merger	114161290.0
573270	0.0	0.11944988	Merger	116397520.0
574283	0.0	0.16512273	Merger	117458970.0
576370	0.0	0.4214224	Merger	156299780.0
579023	0.0	0.3582318	Merger	111035960.0
579953	0.0	0.14653285	Merger	106283224.0
582283	0.0	0.19689098	Merger	93725440.0
585965	0.0	0.8099288	Merger	108925650.0
589235	0.0	0.13303964	Merger	127718880.0
590493	0.0	0.242384	Merger	122611500.0
592543	0.0	0.25763866	Merger	93017930.0
595949	0.0	1.2524371	Merger	87585740.0
602327	0.0	0.11109475	Merger	92453704.0
610361	0.0	0.19646882	Merger	186709390.0
614871	0.0	0.4783235	Merger	99996056.0
616147	0.0	0.28354266	Merger	90872890.0
619151	0.0	0.26282763	Merger	90595280.0
