	SubhaloID	Mass	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2	matched_to_merger_subid	ngrows
1068	110982	382661300.0	0.85485816	0.0	0	15663.39027720497	15888.75719624496	168748	0
29	4230	168066090000.0	261.18808	0.0	0	16428.43033131475	16431.509599092522	2431	3
2765	224709	297986800.0	0.41129637	0.0	0	19836.043640293447	20097.7725788909	5694	0
151	21190	96491360000.0	132.24446	0.0	0	18811.380558542078	18812.744966467115	12174	0
391	48347	1891158000.0	4.4426193	0.0	0	17764.38966218394	18023.927355098018	15784	0
1012	106026	1813514400.0	3.7751517	0.0	0	15318.58474556183	15546.610318169116	15786	0
1195	121074	905536300.0	1.4012758	0.0	0	2783.064988947566	2809.8722428842248	18510	0
958	101549	485944860.0	0.7601418	0.0	0	16283.590248879967	16486.948506662433	24105	0
2318	198542	187197780.0	0.42524755	0.0	0	15264.894237276161	15447.884939219803	28357	0
1790	163953	88652550.0	0.0723068	0.0	0	9602.0916518669	10026.041637400893	36086	0
3776	293020	98050344.0	0.10987145	0.0	0	16011.165161521505	16245.101939222663	38907	0
552	64583	2526129000.0	5.1667924	0.0	0	19847.943285611913	20114.409002291784	39315	0
718	80789	3514795800.0	8.153805	0.0	0	17140.089892540207	17279.610445593346	39995	0
1957	175006	457935940.0	0.5476121	0.0	0	22168.04049916918	22435.05259590157	39996	0
3241	253917	97366460.0	0.20960085	0.0	0	17087.63768257108	17315.019021029464	39997	0
1358	132856	872995650.0	2.169334	0.0	0	16896.37559863421	17151.17916215975	50898	0
619	71439	8287563000.0	18.834711	0.0	0	14181.713998790567	14226.436515681839	51421	0
3037	240741	205051540.0	0.25277892	0.0	0	13155.2312171557	13368.288449033626	52455	0
401	49530	3736103400.0	12.528139	0.0	0	22784.025288981757	22854.9182200384	55159	0
3733	289061	97397150.0	0.16167352	0.0	0	12126.893154260582	12310.110139087294	55163	0
3039	240871	166175950.0	0.41259128	0.0	0	21157.643059315065	21428.34057037852	55947	0
1531	145602	306422080.0	0.38167182	0.0	0	11459.783767839186	11531.338216862776	57189	0
2528	211188	133140740.0	0.14223376	0.0	0	17706.875083628714	17947.210649390287	59090	0
780	86174	95421590.0	0.13633314	0.0	0	22119.74519714013	22196.933903081583	60652	0
2024	179897	111043890.0	0.20077516	0.0	0	10042.456056193743	10059.189582779114	63013	0
1710	158548	675060860.0	0.86644155	0.0	0	2190.9067369710156	2306.3099259666997	80936	0
2463	207476	92580216.0	0.13430315	0.0	0	23096.53067616604	23367.432702612543	82420	0
1051	109265	592961000.0	0.8759222	0.0	0	22781.765258953204	23014.09482762419	83411	0
305	39739	2236051000.0	3.4174495	0.0	0	21114.84861371905	21379.757503357447	85906	0
915	98161	1911391600.0	3.9318707	0.0	0	22958.732524546023	23198.79371145761	87080	0
2466	207706	319290940.0	0.46638283	0.0	0	16377.551698549498	16629.30154440491	93644	0
1158	118168	578599000.0	0.96960825	0.0	0	21211.537687359214	21252.265070039157	94783	0
1456	139852	88008450.0	0.21102726	0.0	0	14427.71513391981	14618.358873166968	95391	0
903	97232	1738413300.0	3.3889272	0.0	0	12979.990594438224	13029.602657952693	97103	0
1645	153778	175072700.0	0.24476781	0.0	0	19241.672777332704	19487.482515182797	97450	0
1361	133036	982827900.0	1.583923	0.0	0	6565.479110881937	7013.098450343455	98001	0
1597	150337	619548000.0	0.52126163	0.0	0	13696.155792708087	13930.637683312349	98420	0
548	64384	1867316100.0	5.6845565	0.0	0	16149.815954227215	16410.55207466018	99155	0
