	SubhaloID	Mass	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2	matched_to_merger_subid	ngrows
1863	192756	1713149400.0	1.5852947	0.0	0	19867.05183198087	19878.174610289254	180886	0
3882	319733	235477000.0	0.25223884	0.0	0	7213.268795587121	7287.4349867181945	280730	0
151	22791	101041190.0	0.039833255	0.0	0	15889.13463333775	16142.712850481112	289670	0
4993	382050	157195870.0	0.14028244	0.0	0	19703.541170644643	19914.68625716402	360002	0
2302	224550	107456860.0	0.041109834	0.0	0	9569.75337528886	9601.75128681886	124663	0
1823	189768	1332705900.0	1.3889195	0.0	0	13232.14779527382	13242.32054890896	12	0
2482	237238	288520640.0	0.8132217	0.0	0	19853.512495368504	19874.66812019431	136577	0
5139	390891	133427176.0	0.12539805	0.0	0	20943.137433026204	21082.4594163521	214172	0
717	91708	386857180.0	0.3801365	0.0	0	7332.534830939238	7620.641550933728	248920	0
960	116092	127459430.0	0.12826705	0.0	0	18512.988361002477	18522.289922196378	277493	0
98	15630	223524470000.0	45.422432	0.0	0	7944.6627196373	7966.763774103054	0	2
2419	232845	631991700.0	0.67339516	0.0	0	6939.1423133802655	6956.985792499885	196055	0
1424	158218	942239900.0	1.1014878	0.0	0	18080.95583824844	18328.594353142027	225222	0
2803	257990	430709000.0	0.19608024	0.0	0	16794.186336506104	16986.124401211528	266189	0
2930	266067	371605280.0	0.5184288	0.0	0	20644.70023111072	20665.49268898922	295094	0
3031	272514	359542660.0	0.30924675	0.0	0	8856.611505674844	8960.901829925228	303546	0
1821	189585	147179920.0	0.14974797	0.0	0	12388.05618062472	12396.037907844908	329824	0
3499	298198	546089800.0	0.4777605	0.0	0	13667.686353356981	13688.236697319417	6	0
5643	435637	91820640.0	0.056513026	0.0	0	20605.95998849577	20624.414255663858	139600	0
589	75768	4827816400.0	7.0681515	0.0	0	6865.733820915745	7076.928162112602	155649	0
1510	165843	2920936400.0	5.607653	0.0	0	15178.438050685038	15259.237656511688	170147	0
1806	188527	953884100.0	1.6054424	0.0	0	15151.200614486672	15373.564486089994	233374	0
815	101774	111384200.0	0.058002904	0.0	0	9906.13991996177	10068.064994814426	238472	0
905	110786	561068860.0	3.5351555	0.0	0	10721.301137971881	10744.686271272201	244549	0
3368	290537	354027870.0	0.32810125	0.0	0	20649.79671926579	20688.482879996438	275229	0
2459	235721	162889000.0	0.18923919	0.0	0	22590.452861291113	22604.56709906392	284215	0
5669	438333	113061030.0	0.08984025	0.0	0	16980.924853262517	17006.777758652683	407833	0
3673	307835	389761400.0	0.5209314	0.0	0	8616.336627936842	8889.099529138322	11	0
3881	319687	274173280.0	0.3019192	0.0	0	9309.478965276114	9506.812478671904	16	0
794	100344	13705168000.0	16.492643	0.0	0	15377.001705476407	15546.047805513004	4038	0
1820	189584	1135683700.0	1.7628299	0.0	0	12375.09227327274	12383.343268443556	4044	0
2753	255157	1013873600.0	1.5763444	0.0	0	18642.779180286445	18668.46860259466	4047	0
1380	154155	1922364400.0	4.7159586	0.0	0	16613.277497905023	16643.473150823207	8993	0
1	1	124769165000.0	77.9176	0.0	2	26.20311999814663	220.86055793103526	17666	2
1326	149530	4998706700.0	3.6054351	0.0	0	11621.873670795028	11875.420859479531	19579	0
399	55050	50609107000.0	19.349514	0.0	0	20719.874712169047	20737.017504491843	22774	0
1946	199044	714749900.0	0.4885969	0.0	0	18276.590043154716	18425.972636659353	24487	0
234	33198	6388647000.0	3.859823	0.0	0	7212.608832381945	7443.203369101863	26635	0
350	48149	589559400.0	0.4448328	0.0	0	13883.655291878391	13903.949683131566	26638	0
3074	274736	501737570.0	0.504218	0.0	0	14237.401916128705	14342.501614843823	26642	0
246	34426	4282417200.0	3.5951042	0.0	0	6637.640092640771	6797.1307470137135	28637	0
338	46552	62872110000.0	35.1033	0.0	0	14179.915932326629	14198.079864636398	30786	0
1554	169020	3474447000.0	3.2867875	0.0	0	13130.584783963877	13303.957451310984	32024	0
4050	328538	330034980.0	0.25268885	0.0	0	20204.39809789005	20431.835253822952	32026	0
430	58523	47511030000.0	44.872208	0.0	0	18999.084357918582	19023.423519799348	33197	0
5740	452019	86823500.0	0.037047274	0.0	0	21815.53309465357	21928.23618744175	33204	0
2087	209389	1568788100.0	1.6303807	0.0	0	18207.465169699404	18316.078856833727	34424	0
1105	130452	11340236000.0	17.250725	0.0	0	10708.476687024659	10937.076208915496	41385	0
23	4037	61594520000.0	91.00873	0.0	0	19272.026708523073	19296.89252701693	42330	0
2835	259825	116546480.0	0.17937624	0.0	0	8869.732351195924	9003.265778252522	43715	0
131	21273	73401530000.0	41.086914	0.0	0	14264.377386964743	14275.674104024436	44481	0
132	21274	65184743000.0	45.788403	0.0	0	14210.109213869657	14221.403785186703	45212	0
3622	305554	350236220.0	0.45902017	0.0	0	12775.91020934994	12779.458818929243	48991	0
288	40305	4902998500.0	4.5472126	0.0	6	372.79491631744327	588.7663375861441	49671	0
4474	351578	229147040.0	0.13811989	0.0	0	14352.38357300123	14689.309450701554	53325	0
592	76169	38818484000.0	12.123402	0.0	0	8097.506750376812	8134.4356115396195	54042	0
334	45818	14481226000.0	15.3854475	0.0	0	20921.22210707705	21040.000574391797	56118	0
4080	330309	239483790.0	0.19664899	0.0	0	14982.97939791048	14995.690708104388	59564	0
1247	142236	5178678300.0	6.780584	0.0	0	6118.488288568868	6371.299349500897	65995	0
3732	311367	343864830.0	0.23836918	0.0	0	14677.047391750442	14864.77450951616	68302	0
4640	361259	197420370.0	0.13107221	0.0	0	19911.942319623737	19923.4379021	71306	0
1235	141022	2625916400.0	3.6111617	0.0	0	25519.821813342285	25543.19695160236	72931	0
3754	312317	326349280.0	0.26305053	0.0	0	11258.620236420596	11260.155719678905	72933	0
7	7	4092170200.0	3.0437577	0.0	6	101.06830676152269	113.73690870438521	78072	0
218	30789	1439893600.0	0.59999454	0.0	0	7895.961160135937	8059.751737911538	80503	0
1289	146057	108332800.0	0.11871403	0.0	0	14771.955111636094	14979.23231738815	80516	0
512	68300	8443323000.0	42.93067	0.0	0	15851.335082938655	15871.52311861593	84165	0
2900	263984	102853144.0	0.06527924	0.0	0	10713.50547453188	10760.489728652308	84172	0
915	111987	9325510000.0	9.552667	0.0	0	7482.47313302171	7761.389487184342	85523	0
1300	147026	426938340.0	1.3023512	0.0	0	19363.356663439736	19383.85764233844	90449	0
833	104261	7014720500.0	12.093106	0.0	0	13162.564486876892	13452.857651489438	90730	0
139	22775	18354180000.0	10.68019	0.0	0	16062.009680418216	16312.024014028771	92929	0
4382	346954	135943710.0	0.15376	0.0	0	10210.51884056394	10226.695031086703	93158	0
696	89627	4772624400.0	5.8604903	0.0	0	15510.322881432548	15598.385900547872	94847	0
1696	180172	1513905200.0	1.9280252	0.0	0	21263.13462553814	21283.07439300193	95244	0
2163	214751	445573400.0	0.21819238	0.0	0	17716.001327312613	17727.854840635508	95248	0
710	90994	10492028000.0	12.430084	0.0	0	8076.296645377571	8179.109589882714	98616	0
4478	351754	135959220.0	0.121240914	0.0	0	19284.964111264646	19297.466460957858	99336	0
209	29476	504080500.0	0.4875086	0.0	0	15011.039137354212	15316.381105909944	99703	0
3714	310438	90660870.0	0.077785954	0.0	0	18024.875436336406	18033.25222242628	103056	0
2315	225684	767856400.0	2.0858076	0.0	0	15736.783237420676	16037.986148229711	105567	0
1651	176745	1513973600.0	3.0597658	0.0	0	18242.690139606286	18255.806593014677	105568	0
4946	378649	289753570.0	0.13784191	0.0	0	8846.85452421236	9045.975372439663	105569	0
937	114134	6911376000.0	9.112987	0.0	0	2104.4277463606913	2152.2824878854535	105907	0
993	119987	5669861400.0	10.308922	0.0	0	7237.017744341205	7405.47008456069	108624	0
1888	194725	373511870.0	0.84997	0.0	0	8778.732201844328	9017.759824266366	108625	0
