Subfind_ID	t-t_merg	q	Type	mass
11	0.3007303599999993	0.24374591	Descendant	588067500.0
16	0.3007303599999993	0.27874482	Descendant	1228486800.0
4038	0.3007303599999993	0.14707401	Descendant	0.0
4044	0.3007303599999993	0.10018043	Descendant	0.0
4047	0.3007303599999993	0.18900461	Descendant	0.0
8993	0.3007303599999993	0.4637509	Descendant	0.0
9012	0.3007303599999993	0.119193666	Descendant	0.0
17666	0.3007303599999993	0.5019434	Descendant	0.0
19579	0.3007303599999993	0.29509717	Descendant	0.0
22774	0.3007303599999993	0.16179964	Descendant	115745.81
24487	0.3007303599999993	0.11878907	Descendant	0.0
26635	0.3007303599999993	0.27817208	Descendant	0.0
26638	0.3007303599999993	0.30523863	Descendant	0.0
26642	0.3007303599999993	1.2502545	Descendant	0.0
28637	0.3007303599999993	1.3285608	Descendant	0.0
30786	0.3007303599999993	0.32895356	Descendant	0.0
32024	0.3007303599999993	0.39140967	Descendant	0.0
32026	0.3007303599999993	0.10122839	Descendant	0.0
33197	0.3007303599999993	2.111098	Descendant	116536.82
33204	0.3007303599999993	0.16169907	Descendant	0.0
34424	0.3007303599999993	0.41587758	Descendant	764245.3
41385	0.3007303599999993	0.2153036	Descendant	0.0
42330	0.3007303599999993	0.12400015	Descendant	0.0
43715	0.3007303599999993	0.2887355	Descendant	103128.195
44481	0.3007303599999993	0.15540054	Descendant	1479000.1
45212	0.3007303599999993	0.3795224	Descendant	0.0
48991	0.3007303599999993	0.1907388	Descendant	0.0
49671	0.3007303599999993	0.20869556	Descendant	0.0
53325	0.3007303599999993	0.24016346	Descendant	0.0
54042	0.3007303599999993	0.18845725	Descendant	0.0
56118	0.3007303599999993	0.23228702	Descendant	0.0
59564	0.3007303599999993	0.14441195	Descendant	288718.78
65995	0.3007303599999993	0.16274528	Descendant	0.0
68302	0.3007303599999993	0.27144122	Descendant	0.0
71306	0.3007303599999993	0.119027026	Descendant	381797.28
72931	0.3007303599999993	0.14854936	Descendant	58354.953
72933	0.3007303599999993	0.1231866	Descendant	56999.914
78072	0.3007303599999993	0.67168725	Descendant	0.0
80503	0.3007303599999993	1.0039423	Descendant	0.0
