	SubhaloID	Mass	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2	matched_to_merger_subid	ngrows
3947	392478	102792660.0	0.05673178	0.0	0	16455.021816444263	16529.379441849414	354550	0
2716	304458	273280320.0	0.1673356	0.0	0	15985.892436078966	16011.059903281892	444328	0
5592	477853	250877330.0	0.08942314	0.0	0	18330.323090154583	18635.90185447296	450685	0
2177	259173	1167901000.0	1.113314	0.0	0	13794.626328144677	13806.826479461115	387145	0
4605	429935	519112930.0	0.19028883	0.0	0	17885.29413318012	17960.414825213527	458613	0
6821	536421	134856670.0	0.031489685	0.0	0	22866.16881346287	23113.78374418481	497074	0
154	18189	612864950000.0	32.80529	0.0	0	19193.40755390274	19281.451189650314	0	3
2945	323410	89846270.0	0.064419895	0.0	0	14151.246359600977	14311.800360084286	8381	0
2585	294056	289328130.0	0.12170148	0.0	0	5839.487503355092	5880.213821409741	18217	0
722	95973	143003370000.0	23.628086	0.0	0	18965.01124072757	19034.978166796707	25988	0
375	48325	248187520000.0	64.71117	0.0	0	4300.569931021127	4390.128260177354	39423	0
1597	201676	7578530000.0	7.51007	0.0	0	9712.916072913538	9894.069414208288	42605	0
74	8267	49136054000.0	27.306173	0.0	0	2805.8335709971366	2992.8832971889233	59857	0
3787	382541	638799800.0	0.4106028	0.0	0	18998.546190601865	19033.8397220362	71230	0
1854	227109	1022999700.0	0.7864777	0.0	0	9825.568502936463	9877.006271134851	83430	0
1388	177865	33933519000.0	18.60073	0.0	0	20374.61885300978	20443.42665532351	88517	0
1095	143862	57771350000.0	0.15583846	0.0	0	23392.81713114546	23414.894308821615	91322	0
6855	538358	129494200.0	0.08390695	0.0	0	13210.22523827695	13352.753017932728	97093	0
7250	561901	137658900.0	0.04801711	0.0	0	15837.442304054237	15886.217731870582	100392	0
854	112544	61308280000.0	36.1723	0.0	0	22684.68219697328	22691.87704887541	102251	0
250	31726	68920990000.0	20.35498	0.0	0	22790.56862046177	22817.386518227573	124199	0
1043	136820	54936625000.0	9.219295	0.0	0	11847.631556912975	11990.835413762776	135218	0
861	113466	40641675000.0	49.113327	0.0	0	11591.346152063848	11664.885891110589	135822	0
5839	489199	277724900.0	0.11744402	0.0	0	18706.835466044802	18710.02084531099	137935	0
1320	169587	29379440000.0	18.758038	0.0	0	6200.145904806175	6355.199119281292	145556	0
3978	394345	129602940.0	0.05813358	0.0	0	14473.037008070853	14595.879838820205	155119	0
2407	280045	5698135000.0	4.0939837	0.0	0	21305.353131259788	21326.25855985586	155799	0
900	119300	33358438000.0	38.631847	0.0	0	20972.236346926496	20986.00262888556	158752	0
6649	527813	135565580.0	0.14770375	0.0	0	21012.278797594416	21128.786723260822	162887	0
1053	137931	33529029000.0	22.1686	0.0	0	23123.1419458832	23148.005349915467	166320	0
777	102252	23924314000.0	9.432699	0.0	0	13759.079234039844	14034.302761206041	168099	0
2285	268959	4476692000.0	2.5025578	0.0	5	1503.297843420563	1719.577778745962	178588	0
3687	376195	405958080.0	0.471394	0.0	0	19777.762507828524	19805.30049856743	181952	0
2275	268149	9367594000.0	4.0530643	0.0	0	13452.353678596772	13581.3110599056	189571	0
2239	264847	14032435000.0	1.1448014	0.0	0	21869.050066238473	21893.717342368203	205969	0
2378	276603	9901116000.0	4.2490993	0.0	0	6629.039068647773	6732.968638839554	218596	0
2477	285912	12807333000.0	2.5489244	0.0	0	12520.274850321226	12675.269707807342	221696	0
2120	253303	9167749000.0	7.7269564	0.0	0	2900.0809552910014	3106.3214716221405	223421	0
7369	570760	105581700.0	0.06220977	0.0	0	16704.1899909705	16749.045471473182	224969	0
4597	429478	288231650.0	0.2273918	0.0	0	20899.844358200593	20987.361927185353	228112	0
6063	500455	291748160.0	0.105322205	0.0	0	19289.679013454897	19294.085936121097	231060	0
2009	242341	6662588000.0	7.7390184	0.0	0	2268.389081963721	2280.7770386012526	234502	0
7030	549124	147085230.0	0.05977665	0.0	0	15845.777496797738	15855.201156602994	236068	0
363	45858	14881917000.0	9.610808	0.0	0	2227.1733698093212	2248.4375736083884	243238	0
265	31741	1376654700.0	0.3962251	0.0	0	22719.778427295532	22746.832394005633	249500	0
6493	520276	219436430.0	0.07463517	0.0	0	17326.479579477265	17449.99955213558	249502	0
2364	275598	9791679000.0	7.552245	0.0	0	22857.252404044622	22946.703398472055	250932	0
5036	451379	293466900.0	0.056584015	0.0	0	6216.8957884327965	6413.00928898177	253078	0
2746	307037	3426176800.0	2.708295	0.0	0	7501.995970149098	7662.005530366353	254600	0
1188	153540	7067699000.0	20.353964	0.0	0	18978.21419934926	19130.124275534694	257794	0
3142	338592	3340411000.0	1.6365309	0.0	0	11797.54135968487	11933.157839135547	259668	0
6505	520847	302304830.0	0.10612833	0.0	0	12629.818600620192	12966.070708909245	260859	0
909	120110	9365627000.0	5.997214	0.0	0	7793.1680524257345	7956.900503226534	263488	0
1368	174960	5935938000.0	5.506467	0.0	0	14631.299892928675	14755.97197792516	268742	0
