Subfind_ID	t-t_merg	q	Type	mass
444960	-0.4597340369681362	0.750681	first_progenitor	37382.76
444959	-0.4597340369681362	0.750681	next_progenitor	0.0
226695	-0.4597340369681362	0.32309037	first_progenitor	0.0
226699	-0.4597340369681362	0.32309037	next_progenitor	0.0
449880	-0.4597340369681362	0.19130334	first_progenitor	0.0
453886	-0.4597340369681362	0.19130334	next_progenitor	33930.875
576495	-0.4597340369681362	0.12952644	first_progenitor	0.0
576496	-0.4597340369681362	0.12952644	next_progenitor	102252.93
111074	-0.4597340369681362	0.109142385	first_progenitor	0.0
111085	-0.4597340369681362	0.109142385	next_progenitor	0.0
481806	-0.4597340369681362	2.2468758	first_progenitor	38377.27
494213	-0.4597340369681362	2.2468758	next_progenitor	0.0
73298	-0.4597340369681362	0.47227332	first_progenitor	0.0
73300	-0.4597340369681362	0.47227332	next_progenitor	0.0
132724	-0.4597340369681362	0.64462656	first_progenitor	0.0
132727	-0.4597340369681362	0.64462656	next_progenitor	0.0
139426	-0.4597340369681362	0.20327279	first_progenitor	0.0
139436	-0.4597340369681362	0.20327279	next_progenitor	0.0
234264	-0.4597340369681362	0.12410318	first_progenitor	0.0
224235	-0.4597340369681362	0.12410318	next_progenitor	0.0
83488	-0.4597340369681362	0.14555946	first_progenitor	0.0
83487	-0.4597340369681362	0.14555946	next_progenitor	0.0
88942	-0.4597340369681362	0.23719667	first_progenitor	0.0
88943	-0.4597340369681362	0.23719667	next_progenitor	67279.33
92890	-0.4597340369681362	1.4581667	first_progenitor	35689.043
90783	-0.4597340369681362	1.4581667	next_progenitor	0.0
153960	-0.4597340369681362	0.16674471	first_progenitor	0.0
153961	-0.4597340369681362	0.16674471	next_progenitor	0.0
114609	-0.4597340369681362	2.362232	first_progenitor	0.0
114610	-0.4597340369681362	2.362232	next_progenitor	0.0
113025	-0.4597340369681362	0.19221246	first_progenitor	0.0
113035	-0.4597340369681362	0.19221246	next_progenitor	0.0
124447	-0.4597340369681362	0.3020571	first_progenitor	0.0
371667	-0.4597340369681362	0.3020571	next_progenitor	0.0
136491	-0.4597340369681362	0.83644485	first_progenitor	0.0
137736	-0.4597340369681362	0.83644485	next_progenitor	0.0
139044	-0.4597340369681362	1.1342512	first_progenitor	54232.03
145737	-0.4597340369681362	1.1342512	next_progenitor	0.0
282039	-0.4597340369681362	0.7596019	first_progenitor	0.0
282160	-0.4597340369681362	0.7596019	next_progenitor	0.0
510445	-0.4597340369681362	0.13396087	first_progenitor	27687670.0
510446	-0.4597340369681362	0.13396087	next_progenitor	176198.11
156132	-0.4597340369681362	0.11122637	first_progenitor	0.0
156142	-0.4597340369681362	0.11122637	next_progenitor	0.0
117689	-0.4597340369681362	0.23312806	first_progenitor	49123.215
