	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
0	24	413251	0.141697385869012	0.10694458	Descendant	342445860.0	1001	31
1	27	471609	0.0	0.14671372	Merger	91069840.0	101	31
2	42	418894	-0.14845824	0.58399564	first_progenitor	431567970.0	2	31
3	43	408055	-0.14845824	0.15251638	first_progenitor	178668770.0	2	31
4	58	23	0.141697385869012	1.0392807	Descendant	2655052800.0	1000	31
5	87	164333	0.141697385869012	0.12213705	Descendant	22829558000.0	1000	31
6	229	441467	0.141697385869012	0.13801931	Descendant	221144750.0	1000	31
7	253	473843	0.141697385869012	1.095739	Descendant	129786960.0	1000	31
8	268	7472	0.0	0.24956362	Merger	4506373000.0	100	31
9	269	13739	0.0	0.17929171	Merger	210333300.0	100	31
10	270	19563	0.0	0.9779163	Merger	365211140.0	100	31
11	271	35775	0.0	0.12449728	Merger	236143950000.0	100	31
12	272	35777	0.0	0.21112181	Merger	1334762500.0	100	31
13	273	50623	0.0	1.4891163	Merger	1016065860.0	100	31
14	274	56503	0.0	0.1475379	Merger	89561460.0	100	31
15	275	62225	0.0	0.12712137	Merger	8836766000.0	100	31
16	276	62257	0.0	0.3516076	Merger	89502220.0	100	31
17	277	63761	0.0	0.1836223	Merger	61894670000.0	100	31
18	278	63762	0.0	0.16812871	Merger	11777011000.0	100	31
19	279	69149	0.0	0.23866051	Merger	12846882000.0	100	31
20	280	69162	0.0	0.107867785	Merger	344332960.0	100	31
21	281	71421	0.0	0.80606014	Merger	5532751400.0	100	31
22	282	77516	0.0	0.17835651	Merger	63238762000.0	100	31
23	283	81396	0.0	0.29976225	Merger	50946646000.0	100	31
24	284	87937	0.0	0.19121245	Merger	44936430000.0	100	31
25	285	90114	0.0	0.48412308	Merger	267107200.0	100	31
26	286	94577	0.0	0.16523847	Merger	84541944.0	100	31
27	287	95282	0.0	0.6037054	Merger	104079470.0	100	31
28	288	98265	0.0	0.86882055	Merger	202225400.0	100	31
29	289	99058	0.0	0.11261998	Merger	59283150000.0	100	31
30	290	99746	0.0	0.15237406	Merger	5710419000.0	100	31
31	291	101003	0.0	0.121882536	Merger	515974500.0	100	31
32	292	106057	0.0	0.17980967	Merger	31927407000.0	100	31
33	293	106605	0.0	2.0432425	Merger	2117454100.0	100	31
34	294	108768	0.0	0.47245216	Merger	31741678000.0	100	31
35	295	109825	0.0	1.8665603	Merger	10969847000.0	100	31
36	296	110748	0.0	0.26076603	Merger	34991067000.0	100	31
37	297	112828	0.0	0.1738109	Merger	4118806000.0	100	31
38	298	117912	0.0	0.21318106	Merger	49505894000.0	100	31
39	299	124852	0.0	0.12828863	Merger	24590766000.0	100	31
40	300	124853	0.0	0.74817616	Merger	4738288600.0	100	31
41	301	129986	0.0	0.48136196	Merger	183164100.0	100	31
42	302	143242	0.0	0.107412934	Merger	170845600.0	100	31
43	303	143719	0.0	0.12093602	Merger	4790227500.0	100	31
44	304	150152	0.0	0.89132935	Merger	2860112400.0	100	31
45	305	150656	0.0	0.13137181	Merger	3401498000.0	100	31
46	306	159258	0.0	0.11137943	Merger	354155330.0	100	31
47	307	160146	0.0	0.45234635	Merger	156062850.0	100	31
48	308	163378	0.0	0.32435232	Merger	105936984.0	100	31
49	309	167491	0.0	0.120032944	Merger	3573080000.0	100	31
50	310	170100	0.0	0.22226706	Merger	1846175400.0	100	31
51	311	170427	0.0	0.52852654	Merger	96300980.0	100	31
52	312	175661	0.0	0.5249308	Merger	6013479000.0	100	31
53	313	175662	0.0	0.11687046	Merger	134061840.0	100	31
54	314	179159	0.0	0.11835796	Merger	2245254700.0	100	31
55	315	180620	0.0	0.1512708	Merger	364400770.0	100	31
56	316	186512	0.0	0.2573471	Merger	820155800.0	100	31
57	317	187389	0.0	0.12542428	Merger	7997516000.0	100	31
58	318	194661	0.0	0.15823664	Merger	577527740.0	100	31
59	319	196794	0.0	1.2123959	Merger	5301188000.0	100	31
60	320	201034	0.0	1.8057482	Merger	545224770.0	100	31
61	321	201886	0.0	0.1493206	Merger	297007550.0	100	31
62	322	206466	0.0	0.10502643	Merger	84997130.0	100	31
63	323	206711	0.0	0.10199323	Merger	674842100.0	100	31
64	324	213186	0.0	0.40376395	Merger	5563099600.0	100	31
65	325	218560	0.0	0.12190509	Merger	6031804400.0	100	31
66	326	219642	0.0	0.10873982	Merger	2324350000.0	100	31
67	327	220112	0.0	0.6770475	Merger	791394800.0	100	31
68	328	220826	0.0	0.12432197	Merger	170564670.0	100	31
69	329	234723	0.0	0.5065783	Merger	2915187200.0	100	31
70	330	235062	0.0	0.11784094	Merger	109072824.0	100	31
71	331	240276	0.0	0.35557288	Merger	503867600.0	100	31
72	332	241995	0.0	1.4693904	Merger	2888678100.0	100	31
73	333	242270	0.0	0.16945133	Merger	1119508200.0	100	31
74	334	245329	0.0	1.1355466	Merger	696983360.0	100	31
75	335	249149	0.0	1.021627	Merger	1395254000.0	100	31
76	336	253842	0.0	0.4903734	Merger	204440110.0	100	31
77	337	257918	0.0	0.17440554	Merger	1859323300.0	100	31
