	Subfind_ID	t-t_merg	q	Type	mass	int_type	center	sfr	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2
509	518420	0.0	0.7768153	Merger	3182434000.0	100	62	0.42346492	0.42346492	1	10	715.8844170056357	1016.5942681018109
510	519404	0.0	0.153373	Merger	1155302800.0	100	62	0.099482216	0.099482216	1	38	162.28793339384248	652.0081804950755
511	534928	0.0	0.21927556	Merger	2532056600.0	100	62	0.46605566	0.46605566	1	104	783.0018232674141	847.1490733049959
512	536349	0.0	0.79939604	Merger	586102460.0	100	62	0.051036403	0.051036403	2	33	25.50222588693063	327.32159985224683
513	536742	0.0	0.24401575	Merger	1395519900.0	100	62	0.44861597	0.44861597	1	9	489.0508647043257	497.7744294435986
514	538633	0.0	0.19901137	Merger	3556776200.0	100	62	0.30444893	0.30444893	1	3	1232.112273171602	1433.4849463412213
515	542862	0.0	0.18585132	Merger	2174175700.0	100	62	0.15202683	0.15202683	1	10	507.34738480406884	545.9435300607352
516	546006	0.0	0.31423366	Merger	238726580.0	100	62	0.1325241	0.1325241	1	41	53.204583341937145	185.36541998340024
517	547926	0.0	0.23763789	Merger	2113278100.0	100	62	0.5553204	0.5553204	1	54	279.03727641537665	338.05831762004647
518	558233	0.0	0.42593107	Merger	179815730.0	100	62	0.038110558	0.038110558	1	107	133.33589873947253	154.23145546670466
519	559016	0.0	0.11938404	Merger	255368960.0	100	62	0.12891306	0.12891306	1	18	73.61705146638158	489.81711499719415
520	568363	0.0	0.3757206	Merger	335930560.0	100	62	0.046515167	0.046515167	1	5	73.49727987349638	556.8116086956804
521	570039	0.0	0.24738352	Merger	458917400.0	100	62	0.17247465	0.17247465	1	1	1632.6791707930317	2420.8835883487454
522	571827	0.0	0.35283953	Merger	718478340.0	100	62	0.083949715	0.083949715	1	26	171.8341934966679	264.66472528479795
523	572190	0.0	0.11280237	Merger	567366340.0	100	62	0.076881506	0.076881506	1	1	1000.3858985104371	2924.018163611644
524	574305	0.0	0.18907239	Merger	408454720.0	100	62	0.03584521	0.03584521	1	6	1350.491743603304	1762.7980581730992
525	576099	0.0	0.12822409	Merger	869505660.0	100	62	0.2294219	0.2294219	1	12	450.63695891484497	1122.1119819956477
526	585214	0.0	1.4351912	Merger	641449200.0	100	62	0.4973684	0.4973684	2	16	5.882543206274017	319.33769039793214
527	591462	0.0	0.36124837	Merger	241743840.0	100	62	0.033990495	0.033990495	1	117	321.53599507714415	325.4190192239104
528	596958	0.0	2.5985038	Merger	263157600.0	100	62	0.057066288	0.057066288	2	13	227.94327204609593	245.06126502020018
529	597691	0.0	0.25100037	Merger	441697200.0	100	62	0.18351848	0.18351848	1	17	491.7873885407489	793.6631327465724
530	603961	0.0	0.28084192	Merger	220150930.0	100	62	0.056015685	0.056015685	1	23	26.407588028781564	264.39072030849104
531	604582	0.0	0.20912264	Merger	518298880.0	100	62	0.11180196	0.11180196	1	28	351.88383516531314	1081.870735122653
532	610878	0.0	0.4731469	Merger	116251100.0	100	62	0.014445964	0.014445964	1	71	30.084614571729446	324.7015313095197
