	Subfind_ID	t-t_merg	q	Type	mass	int_type	center	sfr	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2
396	28	0.3275906599999993	0.21584868	Descendant	11635970000.0	1000	61	0.02871343	0.02871343	0	134	103.50082513591092	166.32105795525158
398	618721	0.3275906599999993	0.10314459	Descendant	450903870.0	1000	61	0.13591295	0.13591295	0	89	455.85407939318924	553.4004021957293
399	631646	0.3275906599999993	0.6666211	Descendant	893010400.0	1000	61	0.16467428	0.16467428	0	27	611.2116955985153	734.4349269717126
400	565080	0.1885447799999999	0.12472586	Descendant	822712060.0	1000	61	0.20682597	0.20682597	0	19	4.0877027044570715	471.6678379215335
404	34129	0.0	0.105599046	Merger	113113840.0	100	61	0.031854875	0.031854875	1	464	117.89723660710008	123.47035622738619
406	49566	0.0	1.038896	Merger	287913020.0	100	61	0.003212458	0.003212458	1	281	26.554727765276887	70.10195425221296
407	117176	0.0	0.293889	Merger	751782400000.0	100	61	3.2460794	3.2460794	1	0	2221.3509253903585	2415.3089022856566
408	176557	0.0	0.19687113	Merger	40947106000.0	100	61	3.2682726	3.2682726	1	22	223.76138044520923	529.5212698543169
409	207456	0.0	0.9967328	Merger	2075605200.0	100	61	1.2216583	1.2216583	1	43	29.802894954300953	31.347855918863193
410	325552	0.0	1.5110081	Merger	4002232300.0	100	61	1.1352153	1.1352153	1	23	94.39488359354992	134.18331230080298
411	339103	0.0	0.22680883	Merger	130487370.0	100	61	0.034808632	0.034808632	1	55	193.235653415422	234.4414125222186
412	362950	0.0	0.1320958	Merger	8180923000.0	100	61	0.34164223	0.34164223	1	43	347.417572757964	355.64058026391956
413	372301	0.0	0.12062	Merger	1014594800.0	100	61	1.6197587	1.6197587	1	17	19.67346918364196	20.13204537220419
414	388732	0.0	0.61836743	Merger	2355720400.0	100	61	0.4800328	0.4800328	1	6	264.83212889645694	328.69979239197716
415	411250	0.0	1.1587211	Merger	9609185000.0	100	61	3.8993173	3.8993173	1	26	18.87155771450921	342.7455088260161
416	440778	0.0	0.5096129	Merger	15125369000.0	100	61	1.0513716	1.0513716	1	23	488.4664679558411	561.4427807343357
417	456844	0.0	0.13823538	Merger	6040852000.0	100	61	2.5445313	2.5445313	1	16	238.69606457285633	540.5471053587885
418	460745	0.0	0.14576833	Merger	9637398000.0	100	61	1.1986825	1.1986825	1	1	369.54715605762476	3476.1315412911945
419	467146	0.0	0.15417024	Merger	1827545200.0	100	61	0.7351518	0.7351518	1	17	26.513841318688836	225.3529840188633
420	471702	0.0	0.12788469	Merger	1217616900.0	100	61	0.19238573	0.19238573	1	18	161.7740469174124	172.52483579497357
421	479019	0.0	0.24188226	Merger	6160925000.0	100	61	0.71648884	0.71648884	1	5	1314.0230547186795	1331.855883845579
422	479867	0.0	0.25856006	Merger	5883861500.0	100	61	0.984155	0.984155	2	4	403.6426818649044	871.0932428167828
423	506203	0.0	0.10218431	Merger	2724078600.0	100	61	1.2811661	1.2811661	1	9	545.6622967633962	902.031179595209
424	522283	0.0	0.26753378	Merger	391378180.0	100	61	0.12837312	0.12837312	1	40	27.07486482108845	670.0779881279683
425	527919	0.0	0.15066002	Merger	272072700.0	100	61	0.25193876	0.25193876	2	48	32.40100830111183	34.50747917837701
426	537778	0.0	0.34715623	Merger	170762260.0	100	61	0.042762473	0.042762473	1	9	13.072268851116162	395.4746561805315
427	542816	0.0	0.20513946	Merger	1865148000.0	100	61	0.13663515	0.13663515	1	6	925.4493492674495	932.9482021783243
428	549691	0.0	1.8858855	Merger	1633193900.0	100	61	0.38046142	0.38046142	2	12	847.9709728064352	1218.0778616313414
429	558246	0.0	0.15316679	Merger	368931170.0	100	61	0.04454248	0.04454248	1	59	317.0878288186579	356.079383158126
430	558726	0.0	0.18584965	Merger	1349751000.0	100	61	0.31238157	0.31238157	1	11	350.24832275871915	448.69269880830984
431	563415	0.0	0.38877666	Merger	197069620.0	100	61	0.07270366	0.07270366	1	23	140.63034378467927	293.1642684860913
432	564311	0.0	1.0915805	Merger	961482700.0	100	61	0.24533929	0.24533929	1	41	314.9097838618741	564.7994760594897
433	576851	0.0	0.2594127	Merger	497344350.0	100	61	0.20095447	0.20095447	1	27	796.3292073471714	909.2871128415389
434	592701	0.0	0.26140943	Merger	514656670.0	100	61	0.08360427	0.08360427	1	45	556.3140886399727	703.9299853710531
435	595278	0.0	0.28787008	Merger	287078530.0	100	61	0.17363288	0.17363288	3	44	567.9534843799703	622.6074616683451
436	598320	0.0	0.22056861	Merger	351406880.0	100	61	0.038833335	0.038833335	2	43	212.49028686893	418.6900899495095
437	599008	0.0	0.39353716	Merger	282541860.0	100	61	0.049647935	0.049647935	2	19	469.20842487155613	473.5422059304088
438	601856	0.0	0.25483865	Merger	216407380.0	100	61	0.08414422	0.08414422	2	46	307.04177719276737	323.505859903344
439	611601	0.0	0.16588002	Merger	151688350.0	100	61	0.0691174	0.0691174	1	31	36.197867939617055	367.88734014177203
440	620842	0.0	0.20397009	Merger	236921300.0	100	61	0.0877818	0.0877818	1	7	842.8412822473066	1037.8083512022638
441	625068	0.0	0.34055918	Merger	170729100.0	100	61	0.04417138	0.04417138	1	123	300.18755923083677	331.4617931226547
442	627718	0.0	0.14696595	Merger	378754140.0	100	61	0.0914092	0.0914092	1	15	715.2822147634876	1129.8066344130539
443	627811	0.0	0.22947901	Merger	216508180.0	100	61	0.109413825	0.109413825	1	9	258.0252856499485	652.1134283300626
