	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
0	7	55	0.1759762978134107	0.98882407	Descendant	803378200.0	1000	57
1	8	61	0.1759762978134107	0.98734725	Descendant	4234939100.0	1000	57
2	68	47378	0.0	0.38965583	Merger	939524350.0	100	57
3	69	47385	0.0	0.21775016	Merger	2151491800.0	100	57
4	70	125961	0.0	0.18228519	Merger	6255055000.0	100	57
5	71	130904	0.0	0.22714871	Merger	793414300.0	100	57
6	72	187942	0.0	0.13108778	Merger	227787780000.0	100	57
7	73	216652	0.0	0.1415791	Merger	284976350.0	100	57
8	74	227030	0.0	0.14098632	Merger	402530200.0	100	57
9	75	228490	0.0	0.11009725	Merger	154179810000.0	100	57
10	76	268160	0.0	0.1006543	Merger	966017340.0	100	57
11	77	279426	0.0	0.10490169	Merger	2390297300.0	100	57
12	78	299703	0.0	0.3359844	Merger	173021860.0	100	57
13	79	307153	0.0	0.118597366	Merger	25169089000.0	100	57
14	80	326329	0.0	1.4536315	Merger	2290955800.0	100	57
15	81	330583	0.0	0.16522574	Merger	23861803000.0	100	57
16	82	330585	0.0	0.29210275	Merger	426328060.0	100	57
17	83	353014	0.0	0.34529662	Merger	36817617000.0	100	57
18	84	359002	0.0	0.32369772	Merger	423771230.0	100	57
19	85	359555	0.0	1.0230731	Merger	16441833000.0	100	57
20	86	365257	0.0	0.11365602	Merger	47480013000.0	100	57
21	87	373407	0.0	0.16302459	Merger	39559580000.0	100	57
22	88	377279	0.0	0.31909364	Merger	585873340.0	100	57
23	89	408005	0.0	0.11151849	Merger	978667500.0	100	57
24	90	410539	0.0	0.22455904	Merger	6714803700.0	100	57
25	91	418810	0.0	0.25376344	Merger	200585330.0	100	57
26	92	438469	0.0	0.161123	Merger	6422842000.0	100	57
27	93	440140	0.0	0.23247764	Merger	92931110.0	100	57
28	94	441500	0.0	0.11031538	Merger	322535940.0	100	57
29	95	455985	0.0	0.19295496	Merger	332819650.0	100	57
30	96	469449	0.0	0.23590608	Merger	4466325000.0	100	57
31	97	477188	0.0	0.13909727	Merger	4742929000.0	100	57
32	98	477896	0.0	0.9532512	Merger	4524642300.0	100	57
33	99	481408	0.0	0.30859715	Merger	4047724800.0	100	57
34	100	492691	0.0	0.21777694	Merger	3975213600.0	100	57
35	101	497348	0.0	0.1888907	Merger	3432388600.0	100	57
36	102	501098	0.0	0.25154102	Merger	713148100.0	100	57
37	103	514479	0.0	0.18712515	Merger	104360960.0	100	57
38	104	529444	0.0	0.33944678	Merger	1157900500.0	100	57
39	105	552554	0.0	0.12321066	Merger	525482620.0	100	57
40	106	552702	0.0	0.16650137	Merger	486331330.0	100	57
41	107	554406	0.0	0.52681965	Merger	134182170.0	100	57
42	108	563241	0.0	0.3197638	Merger	197487380.0	100	57
43	109	564569	0.0	0.44006512	Merger	1193188900.0	100	57
44	110	571096	0.0	0.12842646	Merger	510860480.0	100	57
45	111	572913	0.0	0.12567753	Merger	574222800.0	100	57
46	112	574789	0.0	0.11372999	Merger	126262856.0	100	57
47	113	578912	0.0	0.14658983	Merger	242469870.0	100	57
48	114	592619	0.0	0.7012795	Merger	123572460.0	100	57
49	115	593001	0.0	0.12869221	Merger	341496030.0	100	57
50	116	599555	0.0	0.5351219	Merger	288134180.0	100	57
51	117	599640	0.0	1.7686545	Merger	403976700.0	100	57
52	118	600456	0.0	0.12754276	Merger	297280320.0	100	57
53	119	606594	0.0	0.40435904	Merger	106119030.0	100	57
54	120	619274	0.0	0.39367345	Merger	182488560.0	100	57
55	121	621229	0.0	0.41114652	Merger	258458080.0	100	57
56	122	624240	0.0	0.2662199	Merger	89092820.0	100	57
57	123	628833	0.0	0.20293117	Merger	174925570.0	100	57
58	124	635265	0.0	0.13702947	Merger	85422630.0	100	57
59	125	638042	0.0	2.070251	Merger	148107260.0	100	57
60	126	639899	0.0	0.116632335	Merger	145364450.0	100	57
61	127	641817	0.0	0.1835456	Merger	116924030.0	100	57
62	128	645510	0.0	0.30294126	Merger	139238080.0	100	57
63	129	661727	0.0	0.17195988	Merger	130272056.0	100	57
64	130	663628	0.0	0.16668236	Merger	99345816.0	100	57
65	131	667846	0.0	0.10811219	Merger	123631260.0	100	57
66	132	676482	0.0	0.27434456	Merger	96633530.0	100	57
67	133	690706	0.0	0.78322995	Merger	115193010.0	100	57
68	134	699317	0.0	0.12609318	Merger	89124440.0	100	57
69	136	206	-0.1343308299999996	0.8074189	next_progenitor	222931980.0	10	57
70	246	579498	-0.1343308299999996	0.12713893	first_progenitor	550493200.0	1	57
71	359	611457	-0.31657899	0.10314459	first_progenitor	314198800.0	1	57
72	459	561119	-0.4556248699999994	0.10297792	first_progenitor	611411460.0	1	57
